1;HNX01;BÁO CÁO VỀ GIAO DỊCH TRÊN THỊ TRƯỜNG CỔ PHIẾU;I. Giá trị chứng khoán giao dịch toàn thị trường;Tổng GTGD toàn thị trường HNX đối với CP niêm yết, CP upcom, trái phiếu DN, chứng chỉ quỹ, chứng chỉ quỹ ETF;Báo cáo;Chỉ tiêu phái sinh;Dễ;Loại CK;MSS, MDDS;;X;;Done;;;;Tổng GTGD toàn thị trường đối với CP niêm yết, CP upcom, trái phiếu DN, chứng chỉ quỹ, chứng chỉ quỹ ETF;;;"TRADE_BOOK_HNX,
JAD_STOCKINFOR";"TRADE_BOOK_HNX.trade_price, 
TRADE_BOOK_HNX.trade_quantity, 
JAD_STOCKINFOR.STOCKTYPE";"Tổng 5 mục bên dưới: 
1. Cổ phiếu Niêm Yết 
2. Cổ phiếu UpCom 
3. Trái phiếu doanh nghiệp 
4. Chứng chỉ quỹ 
5. Chứng chỉ quỹ (ETF)";;;;;X
1;HNX01;BÁO CÁO VỀ GIAO DỊCH TRÊN THỊ TRƯỜNG CỔ PHIẾU;1. Cổ phiếu Niêm Yết;"Σ (Giá giao dịch × KL giao dịch) của cổ phiếu niên yết
Cách phân loại CPNY: Market ID trong 2 giá trị:
- STO : HoSE Stock Market
- STX : HNX Listed Stock Market
";Báo cáo;Chỉ tiêu phái sinh;TB;Sàn, Loại CK;MSS;x;X;;Done;Sổ lệnh;CPNY;;Σ (Giá giao dịch × KL giao dịch) của cổ phiếu niên yết;;;TRADE_BOOK_HNX;"Trade price
Trade quantity";"-- Cổ phiếu:
""Market ID"" = 'STO' --HOSE
""Market ID"" = 'STX' --HNX
""Market ID"" = 'UPX' --UPCoM
";"Select sum (h.Trade quantity *h.Trade price) Tong_GTGD_CCQ, h.trade date 
from TRADE_BOOK_HNX h
Where Market ID in ('STO',STX')";;;;
1;HNX01;BÁO CÁO VỀ GIAO DỊCH TRÊN THỊ TRƯỜNG CỔ PHIẾU;2. Cổ phiếu UpCom;"Σ (Giá giao dịch × KL giao dịch) của cổ phiếu UpCom
Xác định cổ phiếu UpCom:
Market ID =' UPX : HNX UPCOM Stock Market""";Báo cáo;Chỉ tiêu phái sinh;TB;Sàn, Loại CK;MSS;x;X;;Done;Sổ lệnh;UpCom;;Giá GD;;;TRADE_BOOK_HNX;"Trade price
Trade quantity";"-- Cổ phiếu:
""Market ID"" = 'STO' --HOSE
""Market ID"" = 'STX' --HNX
""Market ID"" = 'UPX' --UPCoM
";"Select sum (h.Trade quantity *h.Trade price) Tong_GTGD_CCQ, h.trade date 
from TRADE_BOOK_HNX h
Where Market ID ='UPX'";;;;
1;HNX01;BÁO CÁO VỀ GIAO DỊCH TRÊN THỊ TRƯỜNG CỔ PHIẾU;3. Trái phiếu doanh nghiệp;"Cách tính = Σ (KLGD * giá trị giao dịch) của TPDN niêm yết, sàn HNX
--- Xác định TPDN niêm yết:
HCX : HNX Corporate Bond Market là giao dịch trái phiếu doanh nghiệp niêm yết trên HNX
BDO : HoSE Bond Market là giao dịch trái phiếu (thường là doanh nghiệp hoặc một số loại đặc biệt) trên HOSE";Báo cáo;Chỉ tiêu cơ sở;TB;Sàn, Loại CK;MSS, MDDS;x;X;;Done;Sổ lệnh;TPDN;;;;;TRADE_BOOK_HNX;"Trade price
Trade quantity";"--- Trái phiếu DN niêm yết: 
""Market ID"" = 'BDO ' --HOSE
""Market ID"" = 'HCX ' --HNX
";"Select sum (h.Trade quantity *h.Trade price ) Tong_KLGD_TPDN, h.trade date 
from TRADE_BOOK_HNX h
Where Market ID ='HCX'
---and Board ID in (T1,T2,T3,T4,T6,R1)
and Trade date =p_date";;;;
1;HNX01;BÁO CÁO VỀ GIAO DỊCH TRÊN THỊ TRƯỜNG CỔ PHIẾU;4. Chứng chỉ quỹ;"Σ (Giá giao dịch × KL giao dịch) của CCQ
Xác định Loại CK là CCQ: (từ MDDS)
FloorCode ='02' -- HNX
and StockType ='3' --CCQ
and FundType ='M' -- CCQ thông thường, ko phải ETF";Báo cáo;Chỉ tiêu phái sinh;TB;Sàn, Loại CK;MDDS, MSS;x;X;;Done;Sổ lệnh;CCQ;;;;;TRADE_BOOK_HNX;"Trade price
Trade quantity";"
Where 
FloorCode ='02' -- HNX
and StockType ='3' --CCQ
and FundType ='M - Chứng chỉ quỹ thông thường'
and trade date =p_date";"Select sum (h.Trade quantity *h.Trade price) Tong_GTGD_CCQ, h.trade date 
from TRADE_BOOK_HNX h
join JAD_STOCKINFOR s on s.symbol =h.symbol and s.tradingdate = h.Trade date
Where 
s.FloorCode ='02' -- HNX
and s.StockType ='3' --CCQ
and s.FundType ='M - Chứng chỉ quỹ thông thường'
and h.trade date between (p_date_từ, p_date_đến)
group by h.trade date";;;;
1;HNX01;BÁO CÁO VỀ GIAO DỊCH TRÊN THỊ TRƯỜNG CỔ PHIẾU;5. Chứng chỉ quỹ (ETF);"Σ (Giá giao dịch × KL giao dịch) của ETF
Xác định Loại CK là ETF (từ MDDS): 
FloorCode ='02' -- HNX
and StockType ='3' --CCQ
and FundType =' E - ETF'";Báo cáo;Chỉ tiêu phái sinh;TB;Sàn, Loại CK;MSS, MDDS;x;X;;Done;Sổ lệnh;ETF;;Σ (Giá giao dịch × KL giao dịch) của cổ phiếu Upcom;;;TRADE_BOOK_HNX;"Trade price
Trade quantity";"
Where 
FloorCode ='02' -- HNX
and StockType ='3' --CCQ
and FundType =' E - ETF'
and trade date =p_date";"Select sum (h.Trade quantity *h.Trade price) Tong_GTGD_CCQ, h.trade date 
from TRADE_BOOK_HNX h
join JAD_STOCKINFOR s on s.symbol =h.symbol and s.tradingdate = h.Trade date
Where s.FloorCode ='02' -- HNX
and s.StockType ='3' --CCQ
and s.FundType =' E - ETF'
and h.trade date between (p_date_từ, p_date_đến)
group by h.trade date";;;;
1;HNX01;BÁO CÁO VỀ GIAO DỊCH TRÊN THỊ TRƯỜNG CỔ PHIẾU;II. Khối lượng chứng khoán giao dịch toàn thị trường;Sàn: HNX;Báo cáo;Chỉ tiêu phái sinh;Dễ;Sàn, Loại CK;MDDS;;X;;Done;Thông tin thị trường;;;;;;"TRADE_BOOK_HNX,
JAD_STOCKINFOR";"TRADE_BOOK_HNX.trade_quantity, 
JAD_STOCKINFOR.STOCKTYPE";"Tổng 5 mục bên dưới: 
1. Cổ phiếu Niêm Yết 
2. Cổ phiếu UpCom 
3. Trái phiếu doanh nghiệp 
4. Chứng chỉ quỹ 
5. Chứng chỉ quỹ (ETF)";;;;;X
1;HNX01;BÁO CÁO VỀ GIAO DỊCH TRÊN THỊ TRƯỜNG CỔ PHIẾU;1. Cổ phiếu Niêm Yết;"Cách tính = Σ KLGD của CPNY
---Cách phân loại CPNY: Market ID trong 2 giá trị:
- STO : HoSE Stock Market
- STX : HNX Listed Stock Market";Báo cáo;Chỉ tiêu cơ sở;TB;Sàn, Loại CK;MSS;x;X;;Done;Sổ lệnh;CPNY;;Giá;;;TRADE_BOOK_HNX;Trade quantity;"-- Cổ phiếu:
""Market ID"" = 'STO' --HOSE
""Market ID"" = 'STX' --HNX
""Market ID"" = 'UPX' --UPCoM
";"Select sum (h.Trade quantity ) Tong_GTGD_CCQ, h.trade date 
from TRADE_BOOK_HNX h 
Where Market ID in ('STO',STX')";;;;
1;HNX01;BÁO CÁO VỀ GIAO DỊCH TRÊN THỊ TRƯỜNG CỔ PHIẾU;2. Cổ phiếu UpCom;"Cách tính = Σ KLGD của CP UpCom
---Xác định cổ phiếu UpCom:
Market ID =' UPX : HNX UPCOM Stock Market""";Báo cáo;Chỉ tiêu cơ sở;TB;Sàn, Loại CK;MSS;x;X;;Done;Sổ lệnh;UpCom;;Σ KLGD;;;TRADE_BOOK_HNX;Trade quantity;"-- Cổ phiếu:
""Market ID"" = 'STO' --HOSE
""Market ID"" = 'STX' --HNX
""Market ID"" = 'UPX' --UPCoM
";"Select sum (h.Trade quantity ) Tong_GTGD_CCQ, h.trade date 
from TRADE_BOOK_HNX h
Where Market ID ='UPX'";;;;
1;HNX01;BÁO CÁO VỀ GIAO DỊCH TRÊN THỊ TRƯỜNG CỔ PHIẾU;3. Trái phiếu doanh nghiệp;"Cách tính = Σ KLGD của TPDN niêm yết, sàn HNX
--- Xác định TPDN niêm yết:
HCX : HNX Corporate Bond Market là giao dịch trái phiếu doanh nghiệp niêm yết trên HNX
BDO : HoSE Bond Market là giao dịch trái phiếu (thường là doanh nghiệp hoặc một số loại đặc biệt) trên HOSE";Báo cáo;Chỉ tiêu cơ sở;TB;Sàn, Loại CK;MSS, MDDS;x;X;;Done;Sổ lệnh;TPDN;;;;;TRADE_BOOK_HNX;Trade quantity;"--- Trái phiếu DN niêm yết: 
""Market ID"" = 'BDO ' --HOSE
""Market ID"" = 'HCX ' --HNX
";"Select sum (h.Trade quantity ) Tong_KLGD_TPDN, h.trade date 
from TRADE_BOOK_HNX h
Where Market ID ='HCX'
---and Board ID in (T1,T2,T3,T4,T6,R1)
and Trade date =p_date";;;;
