STT;Dashboard/báo cáo;Thông tin;Mô tả;Nhóm yêu cầu;Phân loại;Đánh giá;Độ chi tiết;Nguồn;Trạng thái phân tích;Thông tin cần Test;Trạng thái phân tích;Test script verify mapping;BA Mapping;Cần dữ liệu lịch sử;Test script tại nguồn;Test script tại đích;Kết quả Test;Model;DMT
3.2.2.5;Dashboard Lịch sử cấp chứng chỉ của NHNCK;Trạng thái;"Trạng thái gồm:
Chưa hành nghề | Đang hành nghề | Cấm hành nghề có thời hạn | Thu hồi có cấp lại | Thu hồi không cấp lại";Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;CertificateRecords.Status;;;;;;
3.2.2.6;Dashboard Đợt thi sát hạch của NHNCK;Đợt thi;Đợt thi NHN đã tham gia;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;"ExamSessions.Code
ExamSessions.Name
ExamSessions.Session";;;;;;
;Dashboard Đợt thi sát hạch của NHNCK;Loại chứng chỉ mỗi đợt thi;;;;;Mã người hành nghề;NHNCK;;;;;ExamSessionFees.CertificateId;;;;;;
3.2.2.6;Dashboard Đợt thi sát hạch của NHNCK;Ngày thi;Ngày thi NHN đã tham gia;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;"ExamSessions.ExamStartDate
ExamSessions.ExamEndDate";;;;;;
3.2.2.6;Dashboard Đợt thi sát hạch của NHNCK;Điểm thi;Điểm thi chuyên môn NHN đã tham gia;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;ExamDetails.SpecializationScore;;;;;;
;Dashboard Đợt thi sát hạch của NHNCK;Điểm thi luật;Điểm thi luật;;;;Mã người hành nghề;NHNCK;;;;;ExamDetails.LawScore;;;;;;
;Dashboard Đợt thi sát hạch của NHNCK;Kết quả thi luật;Kết quả luật (1: Đạt, 0: Không đạt);;;;Mã người hành nghề;NHNCK;;;;;ExamDetails.LawResult;;;;;;
;Dashboard Đợt thi sát hạch của NHNCK;Kết quả thi chuyên môn;Kết quả chuyên môn (1: Đạt, 0: Không đạt);;;;Mã người hành nghề;NHNCK;;;;;ExamDetails.SpecializationResult;;;;;;
3.2.2.6;Dashboard Đợt thi sát hạch của NHNCK;Số quyết định công bố;Số quyết định công bố xác nhận danh sách thí sinh đạt / không đạt, điểm thi chính thức, làm căn cứ để cấp chứng chỉ chuyên môn chứng khoán;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;where Decisions.TypeId ...;"ExamSessions.DecisionId
/ 
Decisions.DecisionNumber";;;;;;
3.2.2.6;Dashboard Đợt thi sát hạch của NHNCK;Trạng thái;Trạng thái Đạt/Không đạt;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;ExamSessions.Status;;;;;;
;Dashboard Đợt thi sát hạch của NHNCK;Kết quả tổng;Kết quả để xét duyệt việc thi có đạt, không đạt dựa trên kết quả thi luật và thi chuyên môn;;;;Mã người hành nghề;NHNCK;;;;;ExamDetails.Result;;;;;;
3.2.2.7;Dashboard Cập nhật kiến thức của NHNCK;Kết quả kiểm tra, phân loại (nếu có);Xác định theo kết quả bài kiểm tra cuối khóa;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;SpecializationCourseDetails.Result;;;;;;
3.2.2.7;Dashboard Cập nhật kiến thức của NHNCK;Trạng thái đã đủ 8h hay chưa;"Đã đủ 8h: Số giờ cập nhật 1 năm >= 8h
 Chưa đủ 8h: Số giờ cập nhật 1 năm < 8h";Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;Chưa biết tính như nào ra số giờ;;;;;;
;;Mã khóa học chuyên môn;;;;;Mã người hành nghề;NHNCK;;;;;SpecializationCourses.CourseCode;;;;;;
;;Tên khóa học chuyên môn;;;;;Mã người hành nghề;NHNCK;;;;;SpecializationCourses.CourseName;;;;;;
;;Ngày thi;;;;;Mã người hành nghề;NHNCK;;;;;SpecializationCourses.ExamDate;;;;;;
;;Điểm thi;;;;;Mã người hành nghề;NHNCK;;;;;SpecializationCourseDetails.ExamScore;;;;;;
;;Kết quả thi;Kết quả thi (1: Đạt, 0: Không đạt);;;;Mã người hành nghề;NHNCK;;;;;SpecializationCourseDetails.Result;;;;;;
3.2.2.8;Dashboard Lịch sử vi phạm của NHNCK;Số quyết định;Số quyết định xử phạt;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;Violations.DecisionId;;;;;;
3.2.2.8;Dashboard Lịch sử vi phạm của NHNCK;Ngày quyết định;Ngày quyết định xử phạt;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;"Không tìm thấy => Hỏi HTTT
Chỉ thấy giá trị CreatedAt: ngày tạo";;;;;;
3.2.2.8;Dashboard Lịch sử vi phạm của NHNCK;Nội dung vi phạm;Nội dung vi phạm;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;Violations.Note => Hỏi lại HTTT;;;;;;
3.2.2.8;Dashboard Lịch sử vi phạm của NHNCK;Hình thức xử phạt;Loại vi phạm (1: Hành chính, 2: Pháp luật);Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;Violations.Type;;;;;;
3.2.2.8;Dashboard Lịch sử vi phạm của NHNCK;Trạng thái;Trạng thái thực thi quyết định: Chưa thực thi, Đã thực thi, Cưỡng chế thi hành, Đang thực thi, Đã hoàn thành (đối với đình chỉ), Đã ban hành (đối với Cảnh báo);Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;Violations.Status;;;;;;
3,3;Yêu cầu khai thác dữ liệu (Data Explorer);Tên NHN;Tên NHNCK;DataExplorer;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;CertificateRecords.ProfessionalFullName;;;;;;
3,3;Yêu cầu khai thác dữ liệu (Data Explorer);Số CCHN;Số CCHN của NHNCK;DataExplorer;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;CertificateRecords.CertificateNumber;;;;;;
3,3;Yêu cầu khai thác dữ liệu (Data Explorer);Loại hình;Loại hình nghiệp vụ được cấp phép/ Loại chứng chỉ hành nghề;DataExplorer;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;"Certificates.CertificateCode
Certificates.CertificateName";;;;;;
3,3;Yêu cầu khai thác dữ liệu (Data Explorer);Tổ chức;Tổ chức đang làm việc;DataExplorer;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;Professionals.Workplace;;;;;;
3,3;Yêu cầu khai thác dữ liệu (Data Explorer);Ngày cấp;Ngày cấp CCHN;DataExplorer;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;CertificateRecords.IssueDate;;;;;;
3,3;Yêu cầu khai thác dữ liệu (Data Explorer);Trạng thái;"Trạng thái NHNCK:
- Đang hành nghề
- Chưa hành nghề";DataExplorer;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;ProfessionalHistories.StatusWork;;;;;;
3,3;Yêu cầu khai thác dữ liệu (Data Explorer);Điều kiện lọc: Loại hình;Chiều/ Loại chứng chỉ hành nghề;DataExplorer;Chiều;Dễ;Mã người hành nghề;NHNCK;x;x;;;"Certificates.CertificateCode
Certificates.CertificateName";;;;;;
3,3;Yêu cầu khai thác dữ liệu (Data Explorer);Điều kiện lọc:Trạng thái;Chiều/ Trạng thái NHNCK;DataExplorer;Chiều;Dễ;Mã người hành nghề;NHNCK;x;x;;;ProfessionalHistories.StatusWork;;;;;;
;;Mã định danh ;Mã định danh NHNCK;;;;Mã người hành nghề;NHNCK;;;;;Professionals.IdentityId;;;;;;
;;Mã người hành nghề;Mã người hành nghề;;;;Mã người hành nghề;NHNCK;;;;;"Applications.ProfessionalId
CertificateRecords. ProfessionalId";;;;;;
;;Mã CCHN;Mã CCHN;;;;Mã người hành nghề;NHNCK;;;;;Applications..CertificateRecordId;;;;;;
;;Trạng thái CCHN;Trạng thái CCHN: Trạng thái (0: Chưa sử dụng, 1: Đang sử dụng, 2: Thu hồi, 3: Đã hủy);;;;Mã người hành nghề;NHNCK;;;;;CertificateRecords.Status;;;;;;
