STT;Dashboard/báo cáo;Thông tin;Mô tả;Nhóm yêu cầu;Phân loại;Đánh giá;Độ chi tiết;Nguồn;Trạng thái phân tích;Thông tin cần Test;Trạng thái phân tích;Test script verify mapping;BA Mapping;Cần dữ liệu lịch sử;Test script tại nguồn;Test script tại đích;Kết quả Test;Model;DMT
;Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ chuyên môn;Số lượng Thạc sĩ;Số lượng NHN trình độ Thạc sĩ;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"select count distinct a.IdentityId (mã định danh NHN)
from   Professionals a
join ProfessionalHistories  b on a.ProfessionalId = b.ProfessionalId
join EducationLevels e on b.EducationLevelId = e.EducationLevelId
where  e.LevelName = 'Thạc sĩ'";;;;;;
;Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ chuyên môn;Số lượng Đại học;Số lượng NHN trình độ Đại học;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"select count distinct a.IdentityId (mã định danh NHN)
from   Professionals a
join ProfessionalHistories  b on a.ProfessionalId = b.ProfessionalId
join EducationLevels e on b.EducationLevelId = e.EducationLevelId
where  e.LevelName = 'Đại học'";;;;;;
;Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ chuyên môn;Tỷ lệ Tiến sĩ (%);Tỷ lệ NHN trình độ Tiến sĩ/ Tổng số NHN;Dashboard;Chỉ tiêu phái sinh;Dễ;Mã người hành nghề;NHNCK;x;x;;;Tỷ lệ NHN trình độ Tiến sĩ/ Tổng số NHN;;;;;;
;Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ chuyên môn;Tỷ lệ Thạc sĩ (%);Tỷ lệ NHN trình độ Thạc sĩ/ Tổng số NHN;Dashboard;Chỉ tiêu phái sinh;Dễ;Mã người hành nghề;NHNCK;x;x;;;Tỷ lệ NHN trình độ Thạc sĩ/ Tổng số NHN;;;;;;
;Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Trình độ chuyên môn;Tỷ lệ Đại học (%);Tỷ lệ NHN trình độ Đại học/ Tổng số NHN;Dashboard;Chỉ tiêu phái sinh;Dễ;Mã người hành nghề;NHNCK;x;x;;;Tỷ lệ NHN trình độ Đại học/ Tổng số NHN;;;;;;
;Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Biểu đồ Cơ cấu theo loại hình CCHN;Số lượng CCHN là Môi giới;Số lượng CCHN là Môi giới;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"select count distinct a.CertificateNumber, b.CertificateCode
from   CertificateRecords a
join Certificates  b on a.CertificateId = b.CertificateId
---where CertificateCode = Môi giới CK
group by CertificateCode";;;;;;
;Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Biểu đồ Cơ cấu theo loại hình CCHN;Số lượng CCHN là Phân tích;Số lượng CCHN là Phân tích;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"select count distinct a.CertificateNumber, b.CertificateCode
from   CertificateRecords a
join Certificates  b on a.CertificateId = b.CertificateId
---where CertificateCode = phân tích CK
group by CertificateCode";;;;;;
;Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Biểu đồ Cơ cấu theo loại hình CCHN;Số lượng CCHN là QLQ;Số lượng CCHN là QLQ;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"select count distinct a.CertificateNumber, b.CertificateCode
from   CertificateRecords a
join Certificates  b on a.CertificateId = b.CertificateId
---where CertificateCode = QLQ
group by CertificateCode";;;;;;
;"Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ độ tuổi
";Số lượng NHN có độ tuổi 18–21 quốc tịch VN;Số lượng NHN có độ tuổi 18–21 quốc tịch VN;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"Select count distinct Professionals.IdentityId
From Professionals
Where Professionals.CountryId = 'VN""
and Tuổi >=18 and Tuổi <=21";;;;;;
;"Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ độ tuổi
";Số lượng NHN có độ tuổi 22–30 quốc tịch VN;So luong NHN;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"Select count distinct Professionals.IdentityId
From Professionals
Where Professionals.CountryId = 'VN""
and Tuổi >=22 and Tuổi <=30";;;;;;
;"Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ độ tuổi
";Số lượng NHN có độ tuổi 31–40 quốc tịch VN;Chieu do tuoi NHN;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"Select count distinct Professionals.IdentityId
From Professionals
Where Professionals.CountryId = 'VN""
and Tuổi >=31 and Tuổi <=40";;;;;;
;"Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ độ tuổi
";Số lượng NHN có độ tuổi 41–50 quốc tịch VN;Số lượng NHN có độ tuổi 22–30 quốc tịch VN;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"Select count distinct Professionals.IdentityId
From Professionals
Where Professionals.CountryId = 'VN""
and Tuổi >=41 and Tuổi <=50";;;;;;
;"Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ độ tuổi
";Số lượng NHN có độ tuổi 50+ quốc tịch VN;Số lượng NHN có độ tuổi 31–40 quốc tịch VN;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"Select count distinct Professionals.IdentityId
From Professionals
Where Professionals.CountryId = 'VN""
and Tuổi >50";;;;;;
;"Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ độ tuổi
";Số lượng NHN có độ tuổi 18–21 quốc tịch nước ngoài;Số lượng NHN có độ tuổi 41–50 quốc tịch VN;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"Select count distinct Professionals.IdentityId
From Professionals
Where Professionals.CountryId = 'VN""
and Tuổi >=18 and Tuổi <=21";;;;;;
;"Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ độ tuổi
";Số lượng NHN có độ tuổi 22–30 quốc tịch nước ngoài;Số lượng NHN có độ tuổi 50+ quốc tịch VN;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"Select count distinct Professionals.IdentityId
From Professionals
Where Professionals.CountryId <> 'VN""
and Tuổi >=22 and Tuổi <=30";;;;;;
;"Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ độ tuổi
";Số lượng NHN có độ tuổi 31–40 quốc tịch nước ngoài;Số lượng NHN có độ tuổi 18–21 quốc tịch nước ngoài;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"Select count distinct Professionals.IdentityId
From Professionals
Where Professionals.CountryId <>'VN""
and Tuổi >=31 and Tuổi <=40";;;;;;
;"Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ độ tuổi
";Số lượng NHN có độ tuổi 41–50 quốc tịch nước ngoài;Số lượng NHN có độ tuổi 22–30 quốc tịch nước ngoài;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"Select count distinct Professionals.IdentityId
From Professionals
Where Professionals.CountryId <> 'VN""
and Tuổi >=41 and Tuổi <=50";;;;;;
;"Dashboard tổng quan của Người hành nghề chứng khoán toàn thị trường/Biểu đồ Phân bổ độ tuổi
";Số lượng NHN có độ tuổi 50+ quốc tịch nước ngoài;Số lượng NHN có độ tuổi 31–40 quốc tịch nước ngoài;Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;NHNCK;x;x;;;"Select count distinct Professionals.IdentityId
From Professionals
Where Professionals.CountryId <> 'VN""
and Tuổi >50";;;;;;
;Dashboard Tra cứu hồ sơ 360;Họ tên;Họ tên của NHNCK;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;"Professionals.FullName
/ OrganizationReports.FullName";;;;;;
;Dashboard Tra cứu hồ sơ 360;Ngày sinh;Ngày sinh của NHNCK;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;OrganizationReports.BirthDate;;;;;;
;Dashboard Tra cứu hồ sơ 360;Tuổi;Tuổi của NHNCK;Dashboard;Chỉ tiêu phái sinh;Dễ;Mã người hành nghề;NHNCK;x;x;;;Hệ thống tự tính;;;;;;
;Dashboard Tra cứu hồ sơ 360;Quốc tịch;Quốc tịch của NHNCK;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;Professionals.CountryId;;;;;;
;Dashboard Tra cứu hồ sơ 360;Số định danh cá nhân/ Số hộ chiếu;Số định danh cá nhân hoặc số hộ chiếu;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;Professionals.IdentityId;;;;;;
;Dashboard Tra cứu hồ sơ 360;Nơi công tác hiện tại;Nơi công tác hiện tại;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;"Professionals.Workplace
hoặc
Organizations.OrganizationCode
Organizations.OrganizationName";;;;;;
;Dashboard Tra cứu hồ sơ 360;Loại CCHN;Loại CCHN;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;"Certificates.CertificateCode
Certificates.CertificateName";;;;;;
;Dashboard Tra cứu hồ sơ 360;Trạng thái NHNCK;"Trạng thái NHNCK:
- Đang hành nghề
- Chưa hành nghề";Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;ProfessionalHistories.StatusWork;;;;;;
;Dashboard Mạng lưới của NHNCK;Đơn vị công tác;Tên DN niêm yết/ đăng ký giao dịch (UPCOM) mà NHN tham gia trong bộ máy quản trị doanh nghiệp hoặc cổ đông lớn;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;"ProfessionalHistories.Workplace
/ OrganizationReports.Workplace";;;;;;
;Dashboard Mạng lưới của NHNCK;Chức vụ, vai trò;Chức vụ, vai trò trong bộ máy quản trị doanh nghiệp hoặc cổ đông lớn của DN niêm yết/ đăng ký giao dịch (UPCOM);Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;VSDC, NHNCK;x;x;;;OrganizationReports.Position;;;;;;
;Dashboard Mạng lưới của NHNCK;Họ tên người có liên quan;Họ tên người có liên quan: anh chị em, bố mẹ, …;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;ProfessionalRelationships.FullName;;;;;;
;Dashboard Mạng lưới của NHNCK;Mối quan hệ;"Mối quan hệ của người có liên quan với NHN
Quan hệ (1: Vợ/Chồng, 2: Con, 3: Bố, 4: Mẹ, 5: Ông, 6: Bà)";Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;ProfessionalRelationships.RelationshipType;;;;;;
;Dashboard Mạng lưới của NHNCK;Đơn vị công tác của người có liên quan;DN niêm yết/ đăng ký giao dịch (UPCOM) mà người có liên quan tham gia trong bộ máy quản trị doanh nghiệp hoặc cổ đông lớn;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;ProfessionalRelationships.Workplace;;;;;;
;Dashboard Mạng lưới của NHNCK;Chức vụ, vai trò của người có liên quan;Chức vụ, vai trò của người có liên quan trong bộ máy quản trị doanh nghiệp hoặc cổ đông lớn của DN niêm yết/ đăng ký giao dịch (UPCOM);Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;VSDC, NHNCK;x;x;;;"Hỏi lại HTTT
ProfessionalRelationships.Occupation";;;;;;
;;Nghề nghiệp của người có liên quan;;;;;Mã người hành nghề;NHNCK;;;;;ProfessionalRelationships.Occupation;;;;;;
;;Mã định danh của người có liên quan;;;;;Mã người hành nghề;NHNCK;;;;;ProfessionalRelationships.IdentityId;;;;;;
;;Quốc tịch của người có liên quan;;;;;Mã người hành nghề;NHNCK;;;;;ProfessionalRelationships.CountryId;;;;;;
;;Địa chỉ người có liên quan;;;;;Mã người hành nghề;NHNCK;;;;;ProfessionalRelationships.Address;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Danh sách Vai trò của NHNCK tại DN niêm yết/ đăng ký giao dịch (UPCOM);;;;;Mã người hành nghề;;;;;;;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Tên DN niêm yết/ đăng ký giao dịch (UPCOM);Tên DN niêm yết/ đăng ký giao dịch (UPCOM) mà NHN tham gia trong bộ máy quản trị doanh nghiệp hoặc cổ đông lớn;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;OrganizationReports.OrganizationId/ Workplace;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Vai trò;Chức vụ, vai trò trong bộ máy quản trị doanh nghiệp hoặc cổ đông lớn của DN niêm yết/ đăng ký giao dịch (UPCOM);Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;VSDC, NHNCK;x;x;;;NHNCK.OrganizationReports.Position;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Trạng thái;Trạng thái hiện tại;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Số lượng cổ phiếu sở hữu;"Số lượng cổ phiếu sở hữu của NHN tại DN niêm yết/ đăng ký giao dịch (UPCOM)
Nối thông tin qua CCCD và mã CK";Dashboard;Chỉ tiêu phái sinh;TB;Mã người hành nghề;VSDC;x;x;;;;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Mạng lưới người có liên quan NHNCK;;;;;Mã người hành nghề;;;;;;;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Họ và tên;Họ và tên của người có liên quan;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;ProfessionalRelationships.FullName;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Mối quan hệ;Mối quan hệ của người có liên quan với NHNCK;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;ProfessionalRelationships.RelationshipType;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Nghề nghiệp;Nghề nghiệp của người có liên quan;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;ProfessionalRelationships.Occupation;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;CCCD/CMND/HC;CCCD/CMND/HC của người có liên quan;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;ProfessionalRelationships.IdentityId;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Tài khoản & số dư;;;;;;;;;;;;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Mã CTCK;Tên viết tắt của CTCK mà NHN mở tài khoản;Dashboard;Chỉ tiêu phái sinh;Dễ;Mã người hành nghề;NHNCK;x;x;;Where Organizations.OrganizationTypeId =1;Organizations.OrganizationCode;;;;;;
;;Phân loại tổ chức;Mã loại tổ chức (1: CTCK, 2: QLQ, 3: Ngân hàng, 4: Khác);;;;Mã người hành nghề;NHNCK;;;;;Organizations.OrganizationTypeId;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Số tài khoản;Số tài khoản của NHN đã mở;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;VSDC;x;x;;;;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Tên chủ tài khoản;Tên chủ tài khoản;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;VSDC;x;x;;;;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Mã CK nắm giữ chính;Tối đa 2 mã CK nắm giữ có giá trị lớn nhất;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;VSDC;x;x;;;;;;;;;
3.2.2.3;Dashboard Hồ sơ & Danh mục của NHNCK;Số dư tài khoản (tỷ VNĐ);Tổng giá trị tài sản tại thời điểm hiện tại, đơn vị tỷ đồng;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;;;;;;;
