;;;;;;;;;;;;;;;Khai thác nguồn;;Review design;;;;;;
1;;Dashboard Giám sát rủi ro/ Chỉ số rủi ro hệ thống;Lợi suất trung bình 30 phiên (μ);R̄ = Σ(Ri)/30;Dashboard;Chỉ tiêu phái sinh;TB;Ngày;MDDS;x;x;;Done;Thông tin thị trường;"MarketInfor (PriceBoardAPI)
";"MarketIndex TradingDate, IndexCode
";"IndexCode = 'VNINDEX'; 
30 phiên gần nhất";"WITH last30 AS (
SELECT TradingDate, marketIndex,
LAG(marketIndex) OVER (ORDER BY TradingDate) AS prev_idx
FROM MarketInfor
WHERE IndexCode='VNINDEX'
AND indexTime=(SELECT MAX(indexTime) FROM MarketInfor m2
WHERE m2.IndexCode='VNINDEX' AND m2.TradingDate=MarketInfor.TradingDate)
AND TradingDate <= :input_date
ORDER BY TradingDate DESC LIMIT 31
)
SELECT AVG(LN(CAST(marketIndex AS FLOAT)/NULLIF(CAST(prev_idx AS FLOAT),0))) AS avg_return_30d
FROM last30 WHERE prev_idx IS NOT NULL;";;;;;
1;;Dashboard Giám sát rủi ro/ Chỉ số rủi ro hệ thống;"Z-score Thanh khoản 
Z-score = (x − μ) / σ";"Z-score Thanh khoản 
Z-score = (x − μ) / σ";Dashboard;Chỉ tiêu phái sinh;Khó;Ngày;MDDS, MSS;x;x;;Done;"Thông tin thị trường
Sổ lệnh";"MarketInfor (PriceBoardAPI) 
Trade_HOSE / Trade_HNX";"CloseIndex, TradingDate (IDXInfor);
""Execution - Value"" (Trade_HOSE); 
trade_price*trade_quantity (Trade_HNX)";"IndexCode='VNINDEX'; 
market_id IN ('STO','STX','UPX'); 
board_type IN ('G1','G2','G3'); 
30 phiên gần nhất
";"WITH idx_return AS (
-- Tính lợi suất log từng ngày trước
SELECT
trading_date,
ABS(LN(close_index / NULLIF(LAG(close_index) OVER (ORDER BY trading_date), 0))) AS abs_rt
FROM MarketInfor
WHERE index_code = 'VNINDEX'
),
illiq_d AS (
-- Tính ILLIQₜ = |Rₜ| / VOLDₜ mỗi ngày
SELECT
t.trade_date,
r.abs_rt / NULLIF(SUM(t.exec_value), 0) AS illiq_t
FROM trade_all t
JOIN idx_return r ON r.trading_date = t.trade_date
WHERE t.market_id IN ('STO', 'STX', 'UPX')
AND t.board_type IN ('G1', 'G2', 'G3')
AND t.trade_date <= :input_date
GROUP BY t.trade_date, r.abs_rt
ORDER BY t.trade_date DESC
FETCH FIRST 30 ROWS ONLY
),
illiq_30 AS (
-- ILLIQ30 = trung bình 30 phiên gần nhất
SELECT AVG(illiq_t) AS illiq_avg
FROM illiq_d
)
SELECT
(illiq_30.illiq_avg - hist.mu) / NULLIF(hist.sd, 0) AS z_score_liquidity,
STDDEV_SAMP(h.illiq_30_hist) AS sigma_illiq
FROM illiq_30,
(
SELECT
AVG(illiq_30_hist) AS mu,
STDDEV_SAMP(illiq_30_hist) AS sd
FROM mart.illiq_history
WHERE trading_date <= :input_date
) hist,
mart.illiq_history h
WHERE h.trading_date <= :input_date
GROUP BY illiq_30.illiq_avg, hist.mu, hist.sd;";;;;;
1;;Dashboard Giám sát rủi ro/ Chỉ số rủi ro hệ thống;Độ lệch chuẩn σ;σ_volatility = √[ (1/(N−1)) × Σ(Rt − R̄)² ];Dashboard;Chỉ tiêu phái sinh;Khó;Ngày;MDDS, MSS;x;x;;Done;"Thông tin thị trường
Sổ lệnh";"MarketInfor; (PriceBoardAPI) + Trade_HOSE / Trade_HNX";"CloseIndex, TradingDate; exec_value";"IndexCode='VNINDEX'; market_id IN ('STO','STX','UPX'); board_type IN ('G1','G2','G3'); 30 phiên gần nhất";"WITH illiq_d AS (
SELECT ABS(LN(i.close_index / LAG(i.close_index) OVER (ORDER BY i.trading_date)))
/ NULLIF(SUM(t.exec_value), 0) AS illiq_t
FROM (
SELECT trade_date, exec_value, board_type FROM Trade_HOSE
UNION ALL
SELECT trade_date, exec_value, board_type FROM Trade_HNX
) t
JOIN MarketInfor i
ON i.trading_date = t.trade_date
AND i.index_code = 'VNINDEX'
WHERE t.board_type IN ('G1', 'G2', 'G3')
AND t.trade_date <= :input_date
GROUP BY t.trade_date, i.close_index
ORDER BY t.trade_date DESC
FETCH FIRST 30 ROWS ONLY
)
SELECT STDDEV_SAMP(illiq_t) AS sigma_illiq
FROM illiq_d;
";;;;;
1;;Dashboard Giám sát rủi ro/ Chỉ số rủi ro hệ thống;ILLIQ 30 phiên ( R̄);"
ILLIQ 30 phiên
ILLIQ30 = Σ(ILLIQₜ)/N";Dashboard;Chỉ tiêu phái sinh;Khó;Ngày;MDDS, MSS;x;x;;Done;"Thông tin thị trường
Sổ lệnh";"MarketInfor;
Trade_HOSE / Trade_HNX --> trade_all
";"CloseIndex, TradingDate; ""Execution - Value"" / trade_price*qty";"IndexCode='VNINDEX'; market_id IN ('STO','STX','UPX'); board_type IN ('G1','G2','G3'); 30 phiên 

";"WITH illiq_d AS (
SELECT ABS(LN(i.close_index / LAG(i.close_index) OVER (ORDER BY i.trading_date)))
/ NULLIF(SUM(t.exec_value), 0) AS illiq_t
FROM trade_all t
JOIN MarketInfor i
ON i.trading_date = t.trade_date
AND i.index_code = 'VNINDEX'
WHERE t.market_id IN ('STO', 'STX', 'UPX')
AND t.board_type IN ('G1', 'G2', 'G3')
AND t.trade_date <= :input_date
GROUP BY t.trade_date, i.close_index
ORDER BY t.trade_date DESC
FETCH FIRST 30 ROWS ONLY
)
SELECT AVG(illiq_t) AS illiq_30d
FROM illiq_d;";;;;;
1;;Dashboard Giám sát rủi ro/ Chỉ số rủi ro hệ thống;"Giá trị ILLIQ ngày t (Rt)
";ILLIQₜ = |Rₜ| / VOLDₜ;Dashboard;Chỉ tiêu phái sinh;TB;Ngày;MDDS, MSS;x;x;;Done;ILLIQₜ = |Rₜ| / VOLDₜ;"MarketInfor;
Trade_HOSE / Trade_HNX --> trade_all";"CloseIndex, TradingDate; exec_value";"trade_date = :input_date; market_id IN ('STO','STX','UPX'); board_type IN ('G1','G2','G3')";"SELECT t.trade_date,
ABS(LN(i.close_index / ip.close_index))
/ NULLIF(SUM(t.exec_value), 0) AS illiq_t
FROM trade_all t
JOIN MarketInfor i
ON i.trading_date = t.trade_date
AND i.index_code = 'VNINDEX'
JOIN MarketInfor ip
ON ip.trading_date = (
SELECT MAX(trading_date)
FROM MarketInfor
WHERE index_code = 'VNINDEX'
AND trading_date < t.trade_date
)
AND ip.index_code = 'VNINDEX'
WHERE t.market_id IN ('STO', 'STX', 'UPX')
AND t.board_type IN ('G1', 'G2', 'G3')
AND t.trade_date = :input_date
GROUP BY t.trade_date,
i.close_index,
ip.close_index;";;;;;
1;;Dashboard Giám sát rủi ro/ Chỉ số rủi ro hệ thống;Giá trị tuyệt đối lợi suất tại ngày |Rₜ|;Lợi suất ngày (Log Return): Rₜ = ln(Pₜ / Pₜ₋₁);Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày;MDDS;x;x;;Done;Thông tin thị trường;"MarketInfor (PriceBoardAPI)
";"MarketIndex TradingDate, IndexCode
";"IndexCode = 'VNINDEX'; 
TradingDate ngày t và t-1;
MarketIndex";"SELECT
t.tradingdate,
LN(CAST(t.marketIndex AS FLOAT)
/ CAST(tp.marketIndex AS FLOAT)) AS log_return
FROM MarketInfor t
JOIN MarketInfor tp
ON tp.marketCode = 'VNINDEX'
AND tp.tradingdate = (SELECT MAX(m.tradingdate)
FROM MarketInfor m
WHERE m.marketCode = 'VNINDEX'
AND m.tradingdate < :input_date)
AND tp.indexTime = (SELECT MAX(m.indexTime)
FROM MarketInfor m
WHERE m.marketCode = 'VNINDEX'
AND m.tradingdate = tp.tradingdate) -- gắn đúng ngày t-1
WHERE t.marketCode = 'VNINDEX'
AND t.tradingdate = :input_date
AND t.indexTime = (SELECT MAX(m.indexTime)
FROM MarketInfor m
WHERE m.marketCode = 'VNINDEX'
AND m.tradingdate = :input_date);";Trùng dòng 8;;;;
1;;Dashboard Giám sát rủi ro/ Chỉ số rủi ro hệ thống;Giá đóng cửa ngày P(t);Giá đóng cửa ngày t;Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày;MDDS;x;x;;Done;Thông tin thị trường;"MarketInfor (PriceBoardAPI)
";"MarketIndex, TradingDate, IndexCode
";"IndexCode = 'VNINDEX'; TradingDate = :input_date
";"SELECT marketIndex AS close_index_t
FROM MarketInfor
WHERE IndexCode = 'VNINDEX'
AND TradingDate = :input_date
AND indexTime = (
SELECT MAX(indexTime)
FROM MarketInfor
WHERE IndexCode = 'VNINDEX'
AND TradingDate = :input_date
);";Trùng dòng 9;;;;
1;;Dashboard Giám sát rủi ro/ Chỉ số rủi ro hệ thống;Giá đóng cửa ngày P(t-1);Giá đóng cửa ngày t-1;Dashboard;Chỉ tiêu cơ sở;Trùng;Ngày;MDDS;x;x;;Done;Thông tin thị trường;"MarketInfor (PriceBoardAPI)
";"MarketIndex TradingDate, IndexCode
";"IndexCode = 'VNINDEX'; TradingDate = :input_date -1";"SELECT marketIndex AS close_index_t1
FROM MarketInfor
WHERE IndexCode = 'VNINDEX'
AND TradingDate = (
SELECT MAX(TradingDate)
FROM MarketInfor
WHERE IndexCode = 'VNINDEX'
AND TradingDate < :input_date
)
AND indexTime = (
SELECT MAX(indexTime)
FROM MarketInfor
WHERE IndexCode = 'VNINDEX'
AND TradingDate = (
SELECT MAX(TradingDate)
FROM MarketInfor
WHERE IndexCode = 'VNINDEX'
AND TradingDate < :input_date
)
);";Trùng dòng 10;;;;
1;;Dashboard Giám sát rủi ro/ Chỉ số rủi ro hệ thống;Giá trị giao dịch tại ngày t VOLDₜ;Giá trị giao dịch tại ngày t;Dashboard;Chỉ tiêu cơ sở;TB;Ngày;MSS;x;x;;Done;Sổ lệnh;"Trade_HOSE 
Trade_HNX (order_trade_hose_hnx_spec)
";"Execution - Value(Trade_HOSE); trade_price × trade_quantity (Trade_HNX); trade_date
";"market_id IN ('STO','STX','UPX'); board_type/board_id IN ('G1','G2','G3'); trade_date = :input_date";"SELECT trade_date, SUM(exec_value) AS total_market_value
FROM (
SELECT trade_date, """"Execution - Value"""" AS exec_value
FROM trade_hose WHERE """"Market ID"""" IN ('STO')
AND """"Board Type"""" IN ('G1','G2','G3') AND trade_date = :input_date

UNION ALL

SELECT trade_date, trade_price*trade_quantity AS exec_value
FROM trade_hnx WHERE """"Market ID"""" IN ('STX','UPX')
AND """"Board ID"""" IN ('G1','G2','G3') AND trade_date = :input_date
) t GROUP BY trade_date;
";;;;;
1;;Dashboard Giám sát rủi ro/ Chỉ số rủi ro hệ thống;"Z-score Dư nợ margin
Z-score = (x − μ) / σ";"Z-score Dư nợ margin
Z-score = (x − μ) / σ";Dashboard;Chỉ tiêu phái sinh;Khó;Ngày;SCMS, MDDS, MSS;x;x;;Pending;"Thông tin thị trường
Sổ lệnh
Lấy ở báo cáo SCMS";;;"Margin theo tháng; 
MCAP tính từ giá đóng cửa × KL lưu hành; 
chuỗi 30 phiên đến input_date";;"KLCK lưu hành lấy từ VSDC - Báo cáo TT138.2025.TT.BTC Mẫu số 01. MSS chưa có thiết kế CSDL riêng; tạm dùng StockInfor.TotalListingQtty.";;;;
