;;;;;;;;;;;;;;;Khai thác nguồn;;;;;;;;;;
2;;Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê;Thời gian;Ngày thống kê (tháng);Dashboard;Chiều;Dễ;;Thanh tra;;;;Done;;INSPECTION_TEAM;DECISION_DATE;;"SELECT EXTRACT(YEAR FROM DECISION_DATE) ""Năm"",
EXTRACT(MONTH FROM DECISION_DATE) ""Tháng"",
COUNT(ID) ""Số vụ việc thanh tra"",
COUNT(CASE WHEN END_DATE IS NOT NULL AND START_DATE IS NOT NULL THEN ID ELSE NULL END) ""Số đoàn hoàn thành"",
COUNT(CASE WHEN END_DATE IS NULL AND START_DATE IS NOT NULL THEN ID ELSE NULL END) ""Số đoàn đang thực hiện""
FROM THANHTRA_UAT.INSPECTION_TEAM 
WHERE EXTRACT(YEAR FROM DECISION_DATE) = :filter_year --Điều kiện lọc
AND DELETED = 0 
GROUP BY EXTRACT(YEAR FROM DECISION_DATE), EXTRACT(MONTH FROM DECISION_DATE)
ORDER BY EXTRACT(YEAR FROM DECISION_DATE) DESC, EXTRACT(MONTH FROM DECISION_DATE) DESC";;;;;Done;Dữ liệu động;P
2;;Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê;Số lượng vụ việc thanh tra;Thể hiện số lượng vụ việc theo tháng trong năm tra cứu;Dashboard;Chỉ tiêu cơ sở;TB;Năm, tháng;Thanh tra;x;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
2;;Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê;Số vụ việc thanh tra đang thực hiện;Thể hiện số lượng vụ việc thanh tra đang thực hiện;Dashboard;Chỉ tiêu cơ sở;TB;Năm, tháng;Thanh tra;x;x;;Done;;INSPECTION_TEAM;ID;"START_DATE
END_DATE";;;;;Done;Dữ liệu tĩnh;P;
2;;Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê;Số lượng vụ thanh tra đã hoàn thành;Thể hiện số lượng vụ việc thanh tra đã hoàn thành;Dashboard;Chỉ tiêu cơ sở;TB;Năm, tháng;Thanh tra;x;x;;Done;;INSPECTION_TEAM;ID;"START_DATE
END_DATE";;;;;Done;Dữ liệu tĩnh;F;
3;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi;Phân loại vi phạm;"Phân loại hành vi: 
- Tháo túng thị trường
- Cho mượn tài khoản
- CBTT";Dashboard;Chiều;Dễ;;Thanh tra;;x;;Done;;VIOLATION_BEHAVIOR;NAME;;"WITH cte AS ( 
SELECT it.DECISION_DATE, it.ID, vb.NAME 
FROM THANHTRA_UAT.INSPECTION_TEAM it 
LEFT JOIN THANHTRA_UAT.VIOLATION_RECORD vr ON it.ID = vr.INSPECTION_TEAM_ID AND vr.DELETED = 0 
LEFT JOIN THANHTRA_UAT.VIOLATION_RECORD_BEHAVIOR vrb ON vr.ID = vrb.VIOLATION_RECORD_ID AND vrb.DELETED = 0 
LEFT JOIN THANHTRA_UAT.VIOLATION_BEHAVIOR vb ON vrb.VIOLATION_BEHAVIOR_ID = vb.ID AND vb.DELETED = 0 AND vb.STATUS = 'ACTIVE' 
WHERE it.DELETED = 0 
UNION 
SELECT it.DECISION_DATE, it.ID, vb.NAME 
FROM THANHTRA_UAT.INSPECTION_TEAM it 
LEFT JOIN THANHTRA_UAT.VIOLATION_CASE vc ON it.ID = vc.INSPECTION_TEAM_ID AND vc.DELETED = 0 
LEFT JOIN THANHTRA_UAT.VIOLATION_CASE_RECEIVED_DOCUMENT vcrd ON vc.ID = vcrd.VIOLATION_CASE_ID AND vcrd.DELETED = 0 
LEFT JOIN THANHTRA_UAT.VIOLATION_RECORD vr ON vcrd.VIOLATION_RECORD_ID = vr.ID AND vr.DELETED = 0 
LEFT JOIN THANHTRA_UAT.VIOLATION_RECORD_BEHAVIOR vrb ON vr.ID = vrb.VIOLATION_RECORD_ID AND vrb.DELETED = 0 
LEFT JOIN THANHTRA_UAT.VIOLATION_BEHAVIOR vb ON vrb.VIOLATION_BEHAVIOR_ID = vb.ID AND vb.DELETED = 0 AND vb.STATUS = 'ACTIVE' 
WHERE it.DELETED = 0 
) 
SELECT EXTRACT(YEAR FROM DECISION_DATE) ""Năm"", 
CASE WHEN NAME IS NOT NULL THEN NAME 
ELSE 'Khác' 
END ""Phân loại hành vi"", 
COUNT(DISTINCT ID) ""Số lượng"", 
COUNT(DISTINCT ID)*100/(SUM(COUNT(DISTINCT ID)) OVER (PARTITION BY COALESCE(EXTRACT(YEAR FROM DECISION_DATE),0))) ""Tỷ lệ"" 
FROM cte 
WHERE 1=1 
AND EXTRACT(YEAR FROM DECISION_DATE) = :filter_year --Điều kiện lọc 
--AND NAME IS NOT NULL 
GROUP BY EXTRACT(YEAR FROM DECISION_DATE), 
CASE WHEN NAME IS NOT NULL THEN NAME 
ELSE 'Khác' 
END 
ORDER BY EXTRACT(YEAR FROM DECISION_DATE) DESC";;;;;Done;Dữ liệu tĩnh;F
3;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi;Số lượng vi phạm hành vi Thao túng thị trường;Số lượng vi phạm theo hành vi Thao túng thị trường;Dashboard;Chỉ tiêu cơ sở;TB;Năm, loại vi phạm;Thanh tra;x;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
3;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi;Tỷ lệ % số lượng vi phạm hành vi Thao túng thị trường (%);Tỷ lệ % số lượng vi phạm theo hành vi Thao túng thị trường;Dashboard;Chỉ tiêu phái sinh;Dễ;Năm, loại vi phạm;Thanh tra;;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
3;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi;Số lượng vi phạm hành vi Cho mượn tài khoản;Số lượng vi phạm theo hành vi Cho mượn tài khoản;Dashboard;Chỉ tiêu cơ sở;TB;Năm, loại vi phạm;Thanh tra;x;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
3;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi;Tỷ lệ % số lượng vi phạm hành vi Cho mượn tài khoản (%);Tỷ lệ % số lượng vi phạm theo hành vi Cho mượn tài khoản;Dashboard;Chỉ tiêu phái sinh;Dễ;Năm, loại vi phạm;Thanh tra;;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
3;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi;Số lượng vi phạm hành vi CBTT;Số lượng vi phạm theo hành vi CBTT;Dashboard;Chỉ tiêu cơ sở;TB;Năm, loại vi phạm;Thanh tra;x;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
3;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi;Tỷ lệ % số lượng vi phạm hành vi CBTT (%);Tỷ lệ % số lượng vi phạm theo hành vi CBTT;Dashboard;Chỉ tiêu phái sinh;Dễ;Năm, loại vi phạm;Thanh tra;;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
