;;;;;;;;;;;;;;;;Khai thác nguồn;;Review design;;;;;;;;;;;;
1;;Dashboard >> Tổng quan CTQLQ >> Thống kê chung;VPĐD CTQLQ nước ngoài tại Việt Nam đang chờ đóng cửa;Số lượng VPĐD CTQLQ nước ngoài tại Việt Nam đang chờ đóng cửa;Dashboard;Chỉ tiêu cơ sở;TB;Tháng;FMS;X;X;;Done;;;"FMSQLQ.FOR_BRCH
FMSQLQ.STATUS";FOR_BRCH.ID;"FOR_BRCH.DELETED = 0
FOR_BRCH.BRANCH_FLAG = 0
STATUS.ITEM_NAME
TRUNC(LAST_DAY(FOR_BRCH.START_DATE)) = LAST_DAY(TO_DATE(:filter_month,'MM/YYYY'))";;;;;;Dữ liệu động;;;;;;
1;;Dashboard >> Tổng quan CTQLQ >> Thống kê chung;VPĐD CTQLQ nước ngoài tại Việt Nam đã đóng cửa;Số lượng VPĐD CTQLQ nước ngoài tại Việt Nam đã đóng cửa;Dashboard;Chỉ tiêu cơ sở;TB;Tháng;FMS;X;X;;Done;;;"FMSQLQ.FOR_BRCH
FMSQLQ.STATUS";FOR_BRCH.ID;"FOR_BRCH.DELETED = 0
FOR_BRCH.BRANCH_FLAG = 0
STATUS.ITEM_NAME
TRUNC(LAST_DAY(FOR_BRCH.START_DATE)) = LAST_DAY(TO_DATE(:filter_month,'MM/YYYY'))";;;;;;Dữ liệu động;;;;;;
1;;Dashboard >> Tổng quan CTQLQ >> Thống kê chung;Số lượng hợp đồng tư vấn đầu tư;Tổng số lượng hợp đồng tư vấn đầu tư;Dashboard;Chỉ tiêu cơ sở;TB;Tháng;FMS;X;X;;Done;Chỉ tiêu BC;Báo cáo tình hình hoạt động của CTQLQ >> Hoạt động tư vấn đầu tư chứng khoán >> Tổng (I+II) (Số lượng hợp đồng);;;;Mapping từ chỉ tiêu của báo cáo;;;;;Dữ liệu động;Báo cáo tình hình hoạt động của CTQLQ;HDTuVanDauTuCK_06016;Tổng (I+II);Số lượng hợp đồng;;
1;;Dashboard >> Tổng quan CTQLQ >> Thống kê chung;Tổng số ngân hàng giám sát;Tổng số ngân hàng giám sát;Dashboard;Chỉ tiêu cơ sở;TB;Tháng;FMS;X;X;;Done;;;FMSQLQ.BANK_MONI;BANK_MONI.ID;"BANK_MONI.DELETED = 0
TRUNC(LAST_DAY(BANK_MONI.DEC_DATE)) = LAST_DAY(TO_DATE(:filter_month,'MM/YYYY'))";;;;;;Dữ liệu động;;;;;;
2;;Dashboard >> Tổng quan CTQLQ >> Số liệu hợp đồng uỷ thác danh mục;Thời gian;Ngày thống kê (Tháng);Dashboard;Chiều;Dễ;;FMS;;X;;Done;;;;;;"SELECT :filter_month ""Tháng"",
NVL(COUNT(DISTINCT CASE WHEN i.ID_TYPE != 0 THEN ia.CONTRACT_NO END),0) ""Số HĐ cá nhân"",
NVL(SUM(CASE WHEN i.ID_TYPE != 0 THEN ia.LIST_VALUE END),0) ""GTTT HĐ cá nhân"",
NVL(COUNT(DISTINCT CASE WHEN i.ID_TYPE = 0 THEN ia.CONTRACT_NO END),0) ""Số HĐ tổ chức"",
NVL(SUM(CASE WHEN i.ID_TYPE = 0 THEN ia.LIST_VALUE END),0) ""GTTT HĐ tổ chức"",
NVL(COUNT(ia.CONTRACT_NO),0) ""Tổng số HĐ"",
NVL(SUM(ia.LIST_VALUE),0) ""Tổng GTTT""
FROM FMSQLQ.INVES_ACC ia
LEFT JOIN FMSQLQ.INVES i ON ia.INVES_ID = i.ID 
WHERE 1=1
AND ia.DELETED = 0 AND i.DELETED = 0
AND ia.RECORD_STATUS = 1
AND TRUNC(LAST_DAY(ia.DATE_REPORT)) <= LAST_DAY(TO_DATE(:filter_month, 'MM/YYYY'))
GROUP BY :filter_month";;;;;;Dữ liệu động;;;;;
2;;Dashboard >> Tổng quan CTQLQ >> Số liệu hợp đồng uỷ thác danh mục;Số lượng hợp đồng UTDM cá nhân;Tổng số lượng hợp đồng UTDM của cá nhân;Dashboard;Chỉ tiêu cơ sở;TB;Tháng;FMS;X;X;;Done;;;FMSQLQ.INVES_ACC;INVES_ACC.CONTRACT_NO;"INVES.ID_TYPE != 0
INVES.DELETED = 0
INVES_ACC.DELETED = 0
INVES_ACC.RECORD_STATUS = 1
TRUNC(LAST_DAY(INVES_ACC.DATE_REPORT)) <= LAST_DAY(TO_DATE(:filter_month, 'MM/YYYY'))";;;;;;Dữ liệu động;;;;;;
2;;Dashboard >> Tổng quan CTQLQ >> Số liệu hợp đồng uỷ thác danh mục;Giá trị thị trường hợp đồng UTDM cá nhân;Tổng giá trị ủy thác của hợp đồng UTDM cá nhân;Dashboard;Chỉ tiêu cơ sở;TB;Tháng;FMS;X;X;;Done;;;FMSQLQ.INVES_ACC;INVES_ACC.LIST_VALUE;"INVES.ID_TYPE != 0
INVES.DELETED = 0
INVES_ACC.DELETED = 0
INVES_ACC.RECORD_STATUS = 1
TRUNC(LAST_DAY(INVES_ACC.DATE_REPORT)) <= LAST_DAY(TO_DATE(:filter_month, 'MM/YYYY'))";;;;;;Dữ liệu động;;;;;;
2;;Dashboard >> Tổng quan CTQLQ >> Số liệu hợp đồng uỷ thác danh mục;Số lượng hợp đồng UTDM tổ chức;Tổng số lượng hợp đồng UTDM của tổ chức;Dashboard;Chỉ tiêu cơ sở;TB;Tháng;FMS;X;X;;Done;;;FMSQLQ.INVES_ACC;INVES_ACC.CONTRACT_NO;"INVES.ID_TYPE != 0
INVES.DELETED = 0
INVES_ACC.DELETED = 0
INVES_ACC.RECORD_STATUS = 1
TRUNC(LAST_DAY(INVES_ACC.DATE_REPORT)) <= LAST_DAY(TO_DATE(:filter_month, 'MM/YYYY'))";;;;;;Dữ liệu động;;;;;;
2;;Dashboard >> Tổng quan CTQLQ >> Số liệu hợp đồng uỷ thác danh mục;Giá trị thị trường hợp đồng UTDM tổ chức;Tổng giá trị ủy thác của hợp đồng UTDM tổ chức;Dashboard;Chỉ tiêu cơ sở;TB;Tháng;FMS;X;X;;Done;;;FMSQLQ.INVES_ACC;INVES_ACC.LIST_VALUE;"INVES.ID_TYPE != 0
INVES.DELETED = 0
INVES_ACC.DELETED = 0
INVES_ACC.RECORD_STATUS = 1
TRUNC(LAST_DAY(INVES_ACC.DATE_REPORT)) <= LAST_DAY(TO_DATE(:filter_month, 'MM/YYYY'))";;;;;;Dữ liệu động;;;;;;
2;;Dashboard >> Tổng quan CTQLQ >> Số liệu hợp đồng uỷ thác danh mục;Tổng số lượng hợp đồng UTDM;Tổng số lượng hợp đồng UTDM;Dashboard;Chỉ tiêu cơ sở;TB;Tháng;FMS;X;X;;Done;;;FMSQLQ.INVES_ACC;INVES_ACC.CONTRACT_NO;"INVES.DELETED = 0
INVES_ACC.DELETED = 0
INVES_ACC.RECORD_STATUS = 1
TRUNC(LAST_DAY(INVES_ACC.DATE_REPORT)) <= LAST_DAY(TO_DATE(:filter_month, 'MM/YYYY'))";;;;;;Dữ liệu động;;;;;;
2;;Dashboard >> Tổng quan CTQLQ >> Số liệu hợp đồng uỷ thác danh mục;Tổng giá trị ủy thác;Tổng giá trị ủy thác của hợp đồng UTDM;Dashboard;Chỉ tiêu cơ sở;TB;Tháng;FMS;X;X;;Done;;;FMSQLQ.INVES_ACC;INVES_ACC.LIST_VALUE;"INVES.DELETED = 0
INVES_ACC.DELETED = 0
INVES_ACC.RECORD_STATUS = 1
TRUNC(LAST_DAY(INVES_ACC.DATE_REPORT)) <= LAST_DAY(TO_DATE(:filter_month, 'MM/YYYY'))";;;;;;Dữ liệu động;;;;;;
3;;Dashboard >> Tổng quan CTQLQ >> Danh sách các Công ty quản lý quỹ;Thời gian;Ngày thống kê (Tháng);Dashboard;Chiều;Dễ;;FMS;;X;;Done;;;"FMSQLQ.SECURITIES
FMSQLQ.FUNDS
FMSQLQ.SECURITIES_REPORT
FMSQLQ.INVES_ACC
FMSQLQ.TL_PROFILES";"SECURITIES.ID_DATE
FUNDS.DEC_DATE
SECURITIES_REPORT.EXCUTION_DATE
INVES_ACC.DATE_REPORT
TL_PROFILES.SWORK_DTE";;"SELECT :filter_month ""Tháng"",
s.ITEM_NAME || ' -- ' || s.SHORT_NAME ""Tên CT"",
CASE WHEN LOWER(sr.PERIOD_REPORT_FUND_ACTIVE) LIKE '%tháng%' THEN sr.PROPERTIES END ""Tổng AUM"",
COUNT(f.ID) ""Số lượng quỹ"",
NULL ""CAR"", --Lấy từ chỉ tiêu báo cáo --> Đang nghiên cứu cách lấy
CASE WHEN (LOWER(sr.PERIOD_REPORT_FINANCE) LIKE '%bán niên%' OR LOWER(sr.PERIOD_REPORT_FINANCE) LIKE '%năm%') THEN sr.PROFIT END ""Lợi nhuận"",
CASE WHEN LOWER(sr.PERIOD_REPORT_FUND_ACTIVE) LIKE '%tháng%' THEN sr.PROPERTIES END/
(SELECT SUM(CASE WHEN LOWER(PERIOD_REPORT_FUND_ACTIVE) LIKE '%tháng%' THEN PROPERTIES END) FROM FMSQLQ.SECURITIES_REPORT
WHERE TRUNC(LAST_DAY(EXCUTION_DATE)) <= LAST_DAY(TO_DATE(:filter_month,'MM/YYYY')) )
""Thị phần AUM"", 
CASE WHEN rd.PERIOD = 1 AND EXTRACT(YEAR FROM TO_DATE(:filter_month,'MM/YYYY')) - 1 = rd.REPORT_YEAR THEN r.RANK_INDEX 
WHEN rd.PERIOD = 0 AND EXTRACT(MONTH FROM TO_DATE(:filter_month,'MM/YYYY')) <= 6 THEN r.RANK_INDEX
ELSE NULL
END ""Xếp loại"",
CASE WHEN rd.PERIOD = 1 AND EXTRACT(YEAR FROM TO_DATE(:filter_month,'MM/YYYY')) - 1 = rd.REPORT_YEAR THEN r.TOTAL_SCORE 
WHEN rd.PERIOD = 0 AND EXTRACT(MONTH FROM TO_DATE(:filter_month,'MM/YYYY')) <= 6 THEN r.TOTAL_SCORE
ELSE NULL
END ""CAMEL"",
s.CAPITAL ""Vốn điều lệ"",
NULL ""Vốn CSH"", --Lấy từ chỉ tiêu báo cáo --> Đang nghiên cứu cách lấy
COUNT(ia.CONTRACT_NO) ""Số HĐ ủy thác danh mục"",
CASE WHEN LOWER(j.ITEM_NAME) LIKE '%đại diện pháp luật%' AND tp.EMPLOYED = 'Y' THEN tp.ITEM_NAME END ""NDDPL"",
sr.TLATTC_VALUE ""Số NV có CCHN""
FROM FMSQLQ.SECURITIES s 
LEFT JOIN FMSQLQ.FUNDS f ON s.ID = f.SEC_ID 
LEFT JOIN FMSQLQ.SECURITIES_REPORT sr ON s.ID = sr.SEC_ID
LEFT JOIN FMSQLQ.""RANK"" r ON s.ID = r.SEC_ID 
LEFT JOIN FMSQLQ.RATING_PD rd ON r.RT_PD_ID = rd.ID
LEFT JOIN FMSQLQ.RNK_GR_FTOR rgf ON r.ID = rgf.RK_ID
LEFT JOIN FMSQLQ.INVES i ON s.ID = i.SEC_ID
LEFT JOIN FMSQLQ.INVES_ACC ia ON i.ID = ia.INVES_ID 
LEFT JOIN FMSQLQ.TL_PROFILES tp ON s.ID = tp.SEC_ID 
LEFT JOIN FMSQLQ.JOB_TL_PRO jtp ON tp.ID = jtp.TLPRO_ID
LEFT JOIN FMSQLQ.JOBS j ON jtp.JOB_ID = j.ID 
WHERE 1=1
AND rgf.CODE IN ('C','A','M','E','L')
AND s.DELETED = 0 AND f.DELETED = 0 AND rd.RECORD_STATUS = 1 AND i.DELETED = 0
AND ia.DELETED = 0 AND ia.RECORD_STATUS = 1 AND tp.DELETED = 0 AND tp.RECORD_STATUS = 1
AND j.RECORD_STATUS = 1 AND j.DELETED = 0 AND tp.CONFIRM_STATUS = 1
AND TRUNC(LAST_DAY(s.ID_DATE)) <= LAST_DAY(TO_DATE(:filter_month,'MM/YYYY'))
AND TRUNC(LAST_DAY(f.DEC_DATE)) <= LAST_DAY(TO_DATE(:filter_month,'MM/YYYY'))
AND TRUNC(LAST_DAY(sr.EXCUTION_DATE)) <= LAST_DAY(TO_DATE(:filter_month,'MM/YYYY'))
AND TRUNC(LAST_DAY(ia.DATE_REPORT)) <= LAST_DAY(TO_DATE(:filter_month,'MM/YYYY'))
AND TRUNC(LAST_DAY(tp.SWORK_DTE)) <= LAST_DAY(TO_DATE(:filter_month,'MM/YYYY'))
GROUP BY :filter_month,
s.ITEM_NAME || ' -- ' || s.SHORT_NAME,
CASE WHEN rd.PERIOD = 1 AND EXTRACT(YEAR FROM TO_DATE(:filter_month,'MM/YYYY')) - 1 = rd.REPORT_YEAR THEN r.RANK_INDEX 
WHEN rd.PERIOD = 0 AND EXTRACT(MONTH FROM TO_DATE(:filter_month,'MM/YYYY')) <= 6 THEN r.RANK_INDEX
ELSE NULL
END ,
CASE WHEN rd.PERIOD = 1 AND EXTRACT(YEAR FROM TO_DATE(:filter_month,'MM/YYYY')) - 1 = rd.REPORT_YEAR THEN r.TOTAL_SCORE 
WHEN rd.PERIOD = 0 AND EXTRACT(MONTH FROM TO_DATE(:filter_month,'MM/YYYY')) <= 6 THEN r.TOTAL_SCORE
ELSE NULL
END,
s.CAPITAL,
CASE WHEN LOWER(j.ITEM_NAME) LIKE '%đại diện pháp luật%' AND tp.EMPLOYED = 'Y' THEN tp.ITEM_NAME END ,
sr.TLATTC_VALUE,
CASE WHEN LOWER(sr.PERIOD_REPORT_FUND_ACTIVE) LIKE '%tháng%' THEN sr.PROPERTIES END,
CASE WHEN (LOWER(sr.PERIOD_REPORT_FINANCE) LIKE '%bán niên%' OR LOWER(sr.PERIOD_REPORT_FINANCE) LIKE '%năm%') THEN sr.PROFIT END
";;;;;;Dữ liệu tĩnh;;;;;
3;;Dashboard >> Tổng quan CTQLQ >> Danh sách các Công ty quản lý quỹ;Tên công ty;Tên viết tắt và tên đầy đủ của công ty quản lý quỹ.;Dashboard;Chỉ tiêu cơ sở;Dễ;Tháng, CTQLQ;FMS;X;X;;Done;;;FMSQLQ.SECURITIES;"SECURITIES.SHORT_NAME
SECURITIES.ITEM_NAME";"SECURITIES.DELETED = 0
TRUNC(LAST_DAY(SECURITIES.ID_DATE)) <= LAST_DAY(TO_DATE(:filter_month,'MM/YYYY'))";;;;;;Dữ liệu tĩnh;;;;;;
