datamart_entity,datamart_table,datamart_attribute,datamart_column,nullable,data_domain,data_type,key,description,etl_logic,etl_logic_type,source_entity,atomic_table,source_attribute,atomic_column
Market Index Dimension,market_index_dim,Market Index Dimension Id,market_index_dim_id,false,Surrogate Key,string,PK,"PK — Driving: market_index_snapshot",,Generated,Generated,,,
Market Index Dimension,market_index_dim,Market Id,market_id,false,Text,string,BK,"BK — join anchor từ Fact (kết hợp Market Code)",market_index_snapshot.market_id,direct,Market Index Snapshot,market_index_snapshot,Market Id,market_id
Market Index Dimension,market_index_dim,Market Code,market_code,false,Text,string,BK,"BK — join anchor từ Fact (kết hợp Market Id)",market_index_snapshot.market_code,direct,Market Index Snapshot,market_index_snapshot,Market Code,market_code
Market Index Dimension,market_index_dim,Index Type Code,index_tp_code,true,Classification Value,string,,"Loại index — Classification Value (scheme: MDDS_INDEX_TYPE)",market_index_snapshot.index_tp_code,direct,Market Index Snapshot,market_index_snapshot,Index Type Code,index_tp_code
Market Index Dimension,market_index_dim,TSC Product Group Id,tsc_product_group_id,true,Text,string,,"Mã sản phẩm giao dịch (hose/hnx/upcom)",market_index_snapshot.tsc_product_group_id,direct,Market Index Snapshot,market_index_snapshot,TSC Product Group Id,tsc_product_group_id
Market Index Dimension,market_index_dim,Market Status Code,market_status_code,true,Classification Value,string,,"Trạng thái phiên hiện tại — Classification Value (scheme: MDDS_MARKET_STATUS)",market_index_snapshot.market_status_code,direct,Market Index Snapshot,market_index_snapshot,Market Status Code,market_status_code
Market Index Dimension,market_index_dim,Source System Code,src_stm_code,false,Classification Value,string,,"src_stm_code — Driving: market_index_snapshot, current-state SCD4A lấy bản ghi mới nhất theo Market Id + Market Code",market_index_snapshot.src_stm_code WHERE market_index_snapshot.src_stm_code = 'MDDS_JAD_MARKETINFOR',direct,Market Index Snapshot,market_index_snapshot,Source System Code,src_stm_code
