"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"Administrative Procedure Application Status Dimension","ap_application_status_dim","Administrative Procedure Application Status Dimension Id","ap_application_status_dim_id","false","Surrogate Key","string","PK","PK — Driving: ap_content_item_index","","Generated","","","",""
"Administrative Procedure Application Status Dimension","ap_application_status_dim","Application Status Item Code","application_status_item_code","false","Text","string","BK","BK — ContentItemId của content item trạng thái hồ sơ (TrangThaiHoSo); join anchor cho Fact lookup","ap_content_item_index.content_item_code","direct","Administrative Procedure Content Item Index","ap_content_item_index","Content Item Code","content_item_code"
"Administrative Procedure Application Status Dimension","ap_application_status_dim","Application Status Name","application_status_nm","true","Text","string","","Tên trạng thái hồ sơ hiển thị trên TTHC — nguồn DISPLAYTEXT; giữ nguyên văn để drill-down xuống trạng thái chi tiết","ap_content_item_index.display_text","direct","Administrative Procedure Content Item Index","ap_content_item_index","Display Text","display_text"
"Administrative Procedure Application Status Dimension","ap_application_status_dim","Application Status Group Code","application_status_group_code","false","Text","string","","Nhóm trạng thái gom từ 47 giá trị display_text theo SQL BA STT 5/6 — 5 giá trị: REGISTERED (4 tên) / IN_PROGRESS (30) / APPROVED (4) / REJECTED (9) / UNDEFINED (nhánh ELSE, trạng thái mới chưa phân loại). Đặt tại Dimension để khai báo 1 lần, dùng chung Nhóm 5 và Nhóm 6","CASE WHEN ap_content_item_index.display_text IN ('Mới tạo', 'Chờ VP tiếp nhận', 'Hồ sơ hợp lệ', 'Hồ Sơ Chưa Đầy Đủ') THEN 'REGISTERED' WHEN ap_content_item_index.display_text IN ('Chờ NV xử lý', 'Chờ NV xử lý hồ sơ', 'Chờ NV xử lý bổ sung', 'Chờ VP tiếp nhận bổ sung', 'VP đã tiếp nhận, chờ trả KQ', 'Chờ LĐCM Phân Công', 'Yêu cầu bổ sung', 'CBNV Đợi Trình Duyệt Yêu Cầu Bổ Sung', 'Chờ LĐCM Phê Duyệt Yêu Cầu Bổ Sung', 'LĐCM Phê duyệt YCBS', 'Chờ LĐCM Ký QĐ Yêu Cầu Bổ Sung', 'LĐCM Đã Ký QĐ Yêu Cầu Bổ Sung', 'Chờ LĐUB Phê Duyệt Yêu Cầu Bổ Sung', 'LĐUB Đồng Ý Phê Duyệt YCBS', 'LĐCM Từ Chối Phê Duyệt Yêu Cầu Bổ Sung', 'CBNV Chờ Trả Yêu Cầu Bổ Sung Hồ Sơ Về BPMC', 'BPMC Chờ Trả Yêu Cầu Hoàn Thiện Hồ Sơ Về CN/TC', 'Gửi Thông Báo Yêu Cầu Bổ Sung', 'CBNV Đợi Trình Duyệt Yêu Cầu Từ Chối Giải Quyết', 'Chờ LĐCM Phê Duyệt y.c Từ Chối Giải Quyết', 'Chờ LĐUB Phê Duyệt Yêu Cầu Từ Chối', 'CBNV Đợi Trình Duyệt Kết Quả', 'Chờ LĐCM Phê Duyệt Kết Quả Xử Lý', 'Chờ LĐCM Ký Kết Quả Chấp Thuận', 'Chờ LĐUB Phê Duyệt Kết Quả', 'LĐCM Từ Chối Phê Duyệt Kết Quả', 'LĐUB Từ chối duyệt kết quả', 'CBNV Đợi Trình Duyệt Yêu Cầu Dừng Xử Lý', 'LĐCM T.Chối P.Duyệt YC Dừng Xử Lý', 'LĐUB Từ Chối Thông Báo TTXM') THEN 'IN_PROGRESS' WHEN ap_content_item_index.display_text IN ('Đã phê duyệt - Chuyển trả VP', 'CBNV Chờ Trả Kết Quả Chấp Thuận Về BPMC', 'LĐCM Đã Ký Kết Quả Chấp Thuận', 'Đã Cấp Phép') THEN 'APPROVED' WHEN ap_content_item_index.display_text IN ('Gửi Thông Báo Từ Chối Giải Quyết', 'Gửi Thông Báo Dừng Xử Lý', 'Hủy Hồ Sơ', 'Trả lại', 'Đã trả lại', 'Hồ Sơ Bị Từ Chối Giải Quyết', 'Yêu cầu rút hồ sơ', 'Hồ sơ quá hạn bổ sung', 'VP Từ Chối Tiếp Nhận Hồ sơ') THEN 'REJECTED' ELSE 'UNDEFINED' END","computed","Administrative Procedure Content Item Index","ap_content_item_index","Display Text","display_text"
"Administrative Procedure Application Status Dimension","ap_application_status_dim","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn — scheme SOURCE_SYSTEM. Filter phạm vi: chỉ nạp content item được ap_document tham chiếu làm trạng thái hồ sơ. KHÔNG lọc PUBLISHED — Atomic đã lọc khi nạp ap_content_item_index","ap_content_item_index.src_stm_code WHERE ap_content_item_index.src_stm_code = 'TTHC_CONTENTITEMINDEX' AND ap_content_item_index.latest_ind = '1' AND EXISTS (SELECT 1 FROM ap_document WHERE ap_document.document_status_code = ap_content_item_index.content_item_code AND ap_document.src_stm_code = 'TTHC_DOCUMENT')","direct","Administrative Procedure Content Item Index","ap_content_item_index","Source System Code","src_stm_code"
