datamart_entity,datamart_table,datamart_attribute,datamart_column,nullable,data_domain,data_type,key,description,etl_logic,etl_logic_type,source_entity,atomic_table,source_attribute,atomic_column
Operational Foreign Investor 360 Profile,opr_foreign_investor_360_profile,Investor Code,investor_code,false,Text,string,PK,PK — Driving: foreign_investor (mã số giao dịch VSDC cấp — BK),foreign_investor.foreign_investor_code,direct,Foreign Investor,foreign_investor,Foreign Investor Code,foreign_investor_code
Operational Foreign Investor 360 Profile,opr_foreign_investor_360_profile,Investor Name,investor_nm,false,Text,string,,Tên đầy đủ NĐT,foreign_investor.full_nm,direct,Foreign Investor,foreign_investor,Full Name,full_nm
Operational Foreign Investor 360 Profile,opr_foreign_investor_360_profile,Nationality Code,nationality_code,true,Classification Value,string,,Mã quốc tịch,foreign_investor.nationality_code,direct,Foreign Investor,foreign_investor,Nationality Code,nationality_code
Operational Foreign Investor 360 Profile,opr_foreign_investor_360_profile,Investor Type Code,investor_tp_code,true,Classification Value,string,,Loại hình NĐT,foreign_investor.investor_tp_code,direct,Foreign Investor,foreign_investor,Investor Type Code,investor_tp_code
Operational Foreign Investor 360 Profile,opr_foreign_investor_360_profile,Director Name,director_nm,true,Text,string,,Đại diện giao dịch,foreign_investor.director_full_nm,direct,Foreign Investor,foreign_investor,Director Full Name,director_full_nm
Operational Foreign Investor 360 Profile,opr_foreign_investor_360_profile,Custodian Bank Name,custodian_bank_nm,true,Text,string,,Denormalize từ Custodian Bank qua FK Custodian Bank Id,JOIN custodian_bank ON custodian_bank.custodian_bank_id = foreign_investor.custodian_bank_id → custodian_bank.custodian_bank_full_nm,join_atomic,Custodian Bank,custodian_bank,Custodian Bank Full Name,custodian_bank_full_nm
Operational Foreign Investor 360 Profile,opr_foreign_investor_360_profile,Source System Code,src_stm_code,false,Classification Value,string,,src_stm_code — Driving: foreign_investor,foreign_investor.src_stm_code WHERE foreign_investor.src_stm_code = 'FIMS_INVESTOR',direct,Foreign Investor,foreign_investor,Source System Code,src_stm_code
