Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
PERMISSION_GROUP_USER,UPDATED_AT,Ngày sửa cuối,,
PERMISSION_GROUP_USER,CREATED_BY_ID,User_id người tạo,,
PERMISSION_GROUP_USER,UPDATED_BY_ID,User_id người cập nhật,,
PERMISSION_GROUP_USER,CREATED_BY_NAME,Tên người tạo,,
PERMISSION_GROUP_USER,UPDATED_BY_NAME,Tên người cập nhật,,
PERMISSION_GROUP_USER,DELETED,Soft delete,,
PERMISSION_GROUP_USER,DISPLAY_ORDER,,,
QRTZ_BLOB_TRIGGERS,SCHED_NAME,,PK/FK,FK → QRTZ_TRIGGERS.SCHED_NAME
QRTZ_BLOB_TRIGGERS,TRIGGER_NAME,,PK/FK,FK → QRTZ_TRIGGERS.TRIGGER_NAME
QRTZ_BLOB_TRIGGERS,TRIGGER_GROUP,,PK/FK,FK → QRTZ_TRIGGERS.TRIGGER_GROU
QRTZ_BLOB_TRIGGERS,BLOB_DATA,,,
QRTZ_CALENDARS,SCHED_NAME,,PK,
QRTZ_CALENDARS,CALENDAR_NAME,,PK,
QRTZ_CALENDARS,CALENDAR,,,
QRTZ_CRON_TRIGGERS,SCHED_NAME,,PK/FK,FK → QRTZ_TRIGGERS.SCHED_NAME
QRTZ_CRON_TRIGGERS,TRIGGER_NAME,,PK/FK,FK → QRTZ_TRIGGERS.TRIGGER_NAME
QRTZ_CRON_TRIGGERS,TRIGGER_GROUP,,PK/FK,FK → QRTZ_TRIGGERS.TRIGGER_GROU
QRTZ_CRON_TRIGGERS,CRON_EXPRESSION,,,
QRTZ_CRON_TRIGGERS,TIME_ZONE_ID,,,
QRTZ_FIRED_TRIGGERS,SCHED_NAME,,PK,
QRTZ_FIRED_TRIGGERS,ENTRY_ID,,PK,
QRTZ_FIRED_TRIGGERS,TRIGGER_NAME,,,
QRTZ_FIRED_TRIGGERS,TRIGGER_GROUP,,,
QRTZ_FIRED_TRIGGERS,INSTANCE_NAME,,,
QRTZ_FIRED_TRIGGERS,FIRED_TIME,,,
QRTZ_FIRED_TRIGGERS,SCHED_TIME,,,
