Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
PROVINCE_NEW,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
PROVINCE_NEW,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
PROVINCE_NEW,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
PROVINCE_NEW,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
PROVINCE_NEW,REGION_VERSION_ID,VARCHAR2(36 CHAR),*ID phiên bản của Region (lưu region.id hiện tại)*,,
PROVINCE_NEW,COUNTRY_VERSION_ID,VARCHAR2(36 CHAR),*ID phiên bản của Country (lưu country.id hiện tại)*,,
PROVINCE_NEW,IDX_PROVINCE_NEW_REGION_ID,REGION_ID,,,
PROVINCE_NEW,IDX_PROVINCE_NEW_COUNTRY_ID,COUNTRY_ID,,,
PROVINCE_NEW,IDX_PROVINCE_NEW_ACTIVE,"ACTIVE, DELETED",,,
PROVINCE_NEW,IDX_PROVINCE_NEW_OLD_ID,OLD_ID,,,
PROVINCE_NEW,IDX_PROVINCE_NEW_STABLE_ID,STABLE_ID,,,
PROVINCE_OLD,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
PROVINCE_OLD,CODE,VARCHAR2(20 CHAR),*Mã tỉnh/thành phố'*,,
PROVINCE_OLD,NAME_VN,VARCHAR2(255 CHAR),*Tên tiếng Việt*,,
PROVINCE_OLD,NAME_EN,VARCHAR2(255 CHAR),*Tên tiếng Anh*,,
PROVINCE_OLD,REGION_ID,VARCHAR2(36 CHAR),*Stable Id** vùng/miền* *(Tham chiếu region.**stableId**)*,,FK suy luận → REGION.ID
PROVINCE_OLD,COUNTRY_ID,VARCHAR2(36 CHAR),*Stable Id** quốc gia (tham chiếu country.**stableId**)*,,FK suy luận → COUNTRY.ID
PROVINCE_OLD,PROVINCE_NEW_ID,VARCHAR2(36 CHAR),*ID tỉnh/thành phố mới tương ứng*,,FK suy luận → PROVINCE_NEW.ID
PROVINCE_OLD,EFFECTIVE,NUMBER(1),"Tình trạng (1: Hiệu lực, 0: Hết hiệu lực)",,
PROVINCE_OLD,DISPLAY_LABEL,VARCHAR2(255 CHAR),*Nhãn hiển thị*,,
PROVINCE_OLD,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
PROVINCE_OLD,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
PROVINCE_OLD,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
PROVINCE_OLD,DELETED_REASON,CLOB,*Lý do xóa*,,
PROVINCE_OLD,VERSION,NUMBER(MAX),*Phiên bản*,,
PROVINCE_OLD,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
PROVINCE_OLD,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
PROVINCE_OLD,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
PROVINCE_OLD,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
PROVINCE_OLD,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
PROVINCE_OLD,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
PROVINCE_OLD,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
