Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
ENTERPRISE_TYPE,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
ENTERPRISE_TYPE,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
ENTERPRISE_TYPE,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
ENTERPRISE_TYPE,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
ENTERPRISE_TYPE,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
ENTERPRISE_TYPE,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
ENTERPRISE_TYPE,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
ENTERPRISE_TYPE,PARENT_VERSION_ID,VARCHAR2(36 CHAR),Stable ID của loại hình doanh nghiệp cha,,
ENTERPRISE_TYPE,IDX_ENT_TYPE_PARENT_ID,PARENT_ID,,,
ENTERPRISE_TYPE,IDX_ENT_TYPE_ACTIVE,"ACTIVE, DELETED",,,
ENTERPRISE_TYPE,IDX_ENT_TYPE_OLD_ID,OLD_ID,,,
ENTERPRISE_TYPE,IDX_ENTERPRISE_TYPE_STABLE_ID,STABLE_ID,,,
SECURITY_TYPE,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
SECURITY_TYPE,CODE,VARCHAR2(20 CHAR),*Mã loại chứng khoán (auto: LCK-{SEQ})*,,
SECURITY_TYPE,NAME,VARCHAR2(255 CHAR),*Tên loại chứng khoán*,,
SECURITY_TYPE,PARENT_ID,VARCHAR2(36 CHAR),*ID loại chứng khoán cha*,,
SECURITY_TYPE,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
SECURITY_TYPE,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
SECURITY_TYPE,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
SECURITY_TYPE,DELETED_REASON,CLOB,*Lý do xóa*,,
SECURITY_TYPE,VERSION,NUMBER(MAX),*Phiên bản*,,
SECURITY_TYPE,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
SECURITY_TYPE,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
SECURITY_TYPE,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
SECURITY_TYPE,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
SECURITY_TYPE,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
SECURITY_TYPE,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
SECURITY_TYPE,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
SECURITY_TYPE,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
SECURITY_TYPE,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
SECURITY_TYPE,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
SECURITY_TYPE,PARENT_VERSION_ID,VARCHAR2(36 CHAR),Stable ID của loại hình doanh nghiệp cha,,
SECURITY_TYPE,IDX_SEC_TYPE_PARENT_ID,PARENT_ID,,,
SECURITY_TYPE,IDX_SEC_TYPE_ACTIVE,"ACTIVE, DELETED",,,
SECURITY_TYPE,IDX_SEC_TYPE_OLD_ID,OLD_ID,,,
SECURITY_TYPE,IDX_SEC_TYPE_EFFECTIVE_END,EFFECTIVE_END_DATE,,,
SECURITY_TYPE,IDX_SECURITY_TYPE_STABLE_ID,STABLE_ID,,,
MARKET,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
MARKET,CODE,VARCHAR2(20 CHAR),*Mã thị trường*,,
MARKET,NAME,VARCHAR2(255 CHAR),*Tên thị trường*,,
MARKET,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
MARKET,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
MARKET,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
MARKET,DELETED_REASON,CLOB,*Lý do xóa*,,
MARKET,VERSION,NUMBER(MAX),*Phiên bản*,,
MARKET,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
MARKET,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
MARKET,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
MARKET,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
MARKET,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
MARKET,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
MARKET,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
MARKET,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
MARKET,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
MARKET,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
MARKET,IDX_MARKET_ACTIVE,"ACTIVE, DELETED",,,
MARKET,IDX_MARKET_OLD_ID,OLD_ID,,,
MARKET,IDX_MARKET_EFFECTIVE_END,EFFECTIVE_END_DATE,,,
MARKET,IDX_MARKET_STABLE_ID,STABLE_ID,,,
SECURITY,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
SECURITY,CODE,VARCHAR2(20 CHAR),*Mã chứng khoán*,,
SECURITY,NAME,VARCHAR2(255 CHAR),*Tên chứng khoán*,,
SECURITY,DISPLAY_LABEL,VARCHAR2(255 CHAR),*Nhãn hiển thị*,,
SECURITY,SECURITY_TYPE_ID,VARCHAR2(36 CHAR),*Stable Id** loại chứng khoán (tham chiếu security_type.**stableId**)*,,FK suy luận → SECURITY_TYPE.ID
SECURITY,MARKET_ID,VARCHAR2(36 CHAR),*Stable Id** sàn giao dịch (tham chiếu market.**stableId**)*,,FK suy luận → MARKET.ID
SECURITY,EFFECTIVE,NUMBER(1),"*Tình trạng (1: Hiệu lực, 0: Hết hiệu lực)*",,
SECURITY,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
SECURITY,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
SECURITY,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
SECURITY,DELETED_REASON,CLOB,*Lý do xóa*,,
SECURITY,VERSION,NUMBER(MAX),*Phiên bản*,,
SECURITY,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
SECURITY,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
SECURITY,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
SECURITY,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
SECURITY,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
SECURITY,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
SECURITY,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
SECURITY,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
SECURITY,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
SECURITY,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
SECURITY,SECURITY_TYPE_VERSION_ID,VARCHAR2(36 CHAR),ID phiên bản của SecurityType(lưu security_type.id hiện tại),,
SECURITY,MARKET_VERSION_ID,VARCHAR2(36 CHAR),ID phiên bản của Market(lưu market.id hiện tại),,
SECURITY,IDX_SECURITY_SEC_TYPE_ID,SECURITY_TYPE_ID,,,
SECURITY,IDX_SECURITY_MARKET_ID,MARKET_ID,,,
SECURITY,IDX_SECURITY_ACTIVE,"ACTIVE, DELETED",,,
SECURITY,IDX_SECURITY_OLD_ID,OLD_ID,,,
SECURITY,IDX_SECURITY_EFFECTIVE_END,EFFECTIVE_END_DATE,,,
SECURITY,IDX_SECURITY_STABLE_ID,STABLE_ID,,,
PAR_VALUE,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
PAR_VALUE,CODE,VARCHAR2(20 CHAR),*Mã mệnh giá (auto: PAR-{SEQ})*,,
PAR_VALUE,VALUE_AMOUNT,NUMBER(20),*Giá trị mệnh giá*,,
PAR_VALUE,APPLIED_TYPE,VARCHAR2(50 CHAR),"*Loại áp dụng (STOCK: Cổ phiếu, BOND: Trái phiếu)*",,
PAR_VALUE,CURRENCY_ID,VARCHAR2(36 CHAR),*Stable Id** đơn vị** tiền tệ (tham chiếu currency.**stableId**)*,,FK suy luận → CURRENCY.ID
PAR_VALUE,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
PAR_VALUE,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
PAR_VALUE,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
PAR_VALUE,DELETED_REASON,CLOB,*Lý do xóa*,,
PAR_VALUE,VERSION,NUMBER(MAX),*Phiên bản*,,
PAR_VALUE,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
PAR_VALUE,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
PAR_VALUE,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
PAR_VALUE,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
PAR_VALUE,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
PAR_VALUE,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
PAR_VALUE,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
PAR_VALUE,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
PAR_VALUE,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
PAR_VALUE,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
PAR_VALUE,CURRENCY_VERSION_ID,VARCHAR2(36 CHAR),*ID phiên bản của Currency(lưu currency.id hiện tại)*,,
PAR_VALUE,IDX_PAR_VALUE_CURRENCY_ID,CURRENCY_ID,,,
PAR_VALUE,IDX_PAR_VALUE_ACTIVE,"ACTIVE, DELETED",,,
PAR_VALUE,IDX_PAR_VALUE_OLD_ID,OLD_ID,,,
PAR_VALUE,IDX_PAR_VALUE_EFFECTIVE_END,EFFECTIVE_END_DATE,,,
PAR_VALUE,IDX_PAR_VALUE_STABLE_ID,STABLE_ID,,,
FINANCIAL_INDICATOR,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
FINANCIAL_INDICATOR,CODE,VARCHAR2(20 CHAR),*Mã chỉ tiêu tài chính*,,
FINANCIAL_INDICATOR,NAME,VARCHAR2(255 CHAR),*Tên chỉ tiêu tài chính*,,
FINANCIAL_INDICATOR,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
FINANCIAL_INDICATOR,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
FINANCIAL_INDICATOR,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
FINANCIAL_INDICATOR,DELETED_REASON,CLOB,*Lý do xóa*,,
FINANCIAL_INDICATOR,VERSION,NUMBER(MAX),*Phiên bản*,,
FINANCIAL_INDICATOR,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
FINANCIAL_INDICATOR,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
FINANCIAL_INDICATOR,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
FINANCIAL_INDICATOR,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
FINANCIAL_INDICATOR,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
FINANCIAL_INDICATOR,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
FINANCIAL_INDICATOR,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
FINANCIAL_INDICATOR,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
FINANCIAL_INDICATOR,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
FINANCIAL_INDICATOR,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
FINANCIAL_INDICATOR,IDX_FIN_INDICATOR_ACTIVE,"ACTIVE, DELETED",,,
FINANCIAL_INDICATOR,IDX_FIN_INDICATOR_OLD_ID,OLD_ID,,,
FINANCIAL_INDICATOR,IDX_FIN_INDICATOR_EFF_END,EFFECTIVE_END_DATE,,,
FINANCIAL_INDICATOR,IDX_FINANCIAL_INDICATOR_STABLE_ID,STABLE_ID,,,
FINANCIAL_REPORT_TYPE,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
FINANCIAL_REPORT_TYPE,CODE,VARCHAR2(50 CHAR),*Mã loại báo cáo tài chính*,,
FINANCIAL_REPORT_TYPE,NAME,VARCHAR2(255 CHAR),*Tên loại báo cáo tài chính*,,
FINANCIAL_REPORT_TYPE,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
FINANCIAL_REPORT_TYPE,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
FINANCIAL_REPORT_TYPE,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
FINANCIAL_REPORT_TYPE,DELETED_REASON,CLOB,*Lý do xóa*,,
FINANCIAL_REPORT_TYPE,VERSION,NUMBER(MAX),*Phiên bản*,,
FINANCIAL_REPORT_TYPE,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
FINANCIAL_REPORT_TYPE,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
FINANCIAL_REPORT_TYPE,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
FINANCIAL_REPORT_TYPE,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
FINANCIAL_REPORT_TYPE,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
FINANCIAL_REPORT_TYPE,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
FINANCIAL_REPORT_TYPE,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
FINANCIAL_REPORT_TYPE,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
FINANCIAL_REPORT_TYPE,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
FINANCIAL_REPORT_TYPE,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
FINANCIAL_REPORT_TYPE,IDX_FIN_RPT_TYPE_ACTIVE,"ACTIVE, DELETED",,,
FINANCIAL_REPORT_TYPE,IDX_FIN_RPT_TYPE_OLD_ID,OLD_ID,,,
FINANCIAL_REPORT_TYPE,IDX_FIN_RPT_TYPE_EFF_END,EFFECTIVE_END_DATE,,,
FINANCIAL_REPORT_TYPE,IDX_FINANCIAL_REPORT_TYPE_STABLE_ID,STABLE_ID,,,
INVESTOR_CATEGORY,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
INVESTOR_CATEGORY,CODE,VARCHAR2(50 CHAR),*Mã loại nhà đầu tư*,,
INVESTOR_CATEGORY,NAME,VARCHAR2(255 CHAR),*Tên loại nhà đầu tư*,,
INVESTOR_CATEGORY,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
INVESTOR_CATEGORY,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
INVESTOR_CATEGORY,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
INVESTOR_CATEGORY,DELETED_REASON,CLOB,*Lý do xóa*,,
INVESTOR_CATEGORY,VERSION,NUMBER(MAX),*Phiên bản*,,
INVESTOR_CATEGORY,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
INVESTOR_CATEGORY,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
INVESTOR_CATEGORY,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
INVESTOR_CATEGORY,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
INVESTOR_CATEGORY,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
INVESTOR_CATEGORY,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
INVESTOR_CATEGORY,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
INVESTOR_CATEGORY,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
INVESTOR_CATEGORY,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
INVESTOR_CATEGORY,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
INVESTOR_CATEGORY,IDX_INV_CAT_ACTIVE,"ACTIVE, DELETED",,,
INVESTOR_CATEGORY,IDX_INV_CAT_OLD_ID,OLD_ID,,,
INVESTOR_CATEGORY,IDX_INV_CAT_CODE,"CODE, VERSION",,,
INVESTOR_CATEGORY,IDX_INVESTOR_CATEGORY_STABLE_ID,STABLE_ID,,,
INVESTOR_TYPE,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
INVESTOR_TYPE,CODE,VARCHAR2(50 CHAR),*Mã loại hình nhà đầu tư*,,
INVESTOR_TYPE,NAME,VARCHAR2(255 CHAR),*Tên loại hình nhà đầu tư*,,
INVESTOR_TYPE,APPLICABLE_TYPE,VARCHAR2(50 CHAR),*Loại áp dụng*,,
INVESTOR_TYPE,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
INVESTOR_TYPE,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
INVESTOR_TYPE,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
INVESTOR_TYPE,DELETED_REASON,CLOB,*Lý do xóa*,,
INVESTOR_TYPE,VERSION,NUMBER(MAX),*Phiên bản*,,
INVESTOR_TYPE,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
INVESTOR_TYPE,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
INVESTOR_TYPE,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
INVESTOR_TYPE,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
INVESTOR_TYPE,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
INVESTOR_TYPE,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
INVESTOR_TYPE,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
INVESTOR_TYPE,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
INVESTOR_TYPE,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
INVESTOR_TYPE,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
INVESTOR_TYPE,IDX_INV_TYPE_ACTIVE,"ACTIVE, DELETED",,,
INVESTOR_TYPE,IDX_INV_TYPE_OLD_ID,OLD_ID,,,
INVESTOR_TYPE,IDX_INVESTOR_TYPE_STABLE_ID,STABLE_ID,,,
FUND_TYPE,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
FUND_TYPE,CODE,VARCHAR2(50 CHAR),*Mã loại hình quỹ*,,
FUND_TYPE,NAME,VARCHAR2(255 CHAR),*Tên loại hình quỹ*,,
FUND_TYPE,EFFECTIVE,NUMBER(1),"*Tình trạng (1: Hiệu lực, 0: Hết hiệu lực)*",,
FUND_TYPE,DISPLAY_LABEL,VARCHAR2(255 CHAR),*Nhãn hiển thị*,,
FUND_TYPE,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
FUND_TYPE,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
FUND_TYPE,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
FUND_TYPE,DELETED_REASON,CLOB,*Lý do xóa*,,
FUND_TYPE,VERSION,NUMBER(MAX),*Phiên bản*,,
FUND_TYPE,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
FUND_TYPE,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
FUND_TYPE,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
FUND_TYPE,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
FUND_TYPE,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
FUND_TYPE,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
FUND_TYPE,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
FUND_TYPE,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
FUND_TYPE,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
FUND_TYPE,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
FUND_TYPE,IDX_FUND_TYPE_ACTIVE,"ACTIVE, DELETED",,,
FUND_TYPE,IDX_FUND_TYPE_OLD_ID,OLD_ID,,,
FUND_TYPE,IDX_FUND_TYPE_STABLE_ID,STABLE_ID,,,
AGENT_TYPE,ID,VARCHAR2( 36 CHAR),*Khóa chính (UUIDv7)*,PK,
AGENT_TYPE,CODE,VARCHAR2(50 CHAR),*Mã đại lý*,,
AGENT_TYPE,NAME,VARCHAR2(255 CHAR),*Tên loại đại lý*,,
AGENT_TYPE,FUND_TYPE_ID,VARCHAR2( 36 CHAR),*Stable Id** **loại h**ình quỹ (tham chiếu fund_type.**stableId**)*,,FK suy luận → FUND_TYPE.ID
AGENT_TYPE,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
AGENT_TYPE,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
AGENT_TYPE,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
AGENT_TYPE,DELETED_REASON,CLOB,*Lý do xóa*,,
AGENT_TYPE,VERSION,NUMBER(MAX),*Phiên bản*,,
AGENT_TYPE,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
AGENT_TYPE,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
AGENT_TYPE,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
AGENT_TYPE,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
AGENT_TYPE,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
AGENT_TYPE,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
AGENT_TYPE,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
AGENT_TYPE,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
AGENT_TYPE,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
AGENT_TYPE,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
AGENT_TYPE,IDX_AGENT_TYPE_FUND_TYPE_ID,FUND_TYPE_ID,,,
AGENT_TYPE,IDX_AGENT_TYPE_ACTIVE,"ACTIVE, DELETED",,,
AGENT_TYPE,IDX_AGENT_TYPE_OLD_ID,OLD_ID,,,
AGENT_TYPE,IDX_AGENT_TYPE_STABLE_ID,STABLE_ID,,,
DATABASECHANGELOG,ID,VARCHAR2(255 CHAR),*Id của changeset*,,
DATABASECHANGELOG,AUTHOR,VARCHAR2(255 CHAR),*Người viết changeset*,,
DATABASECHANGELOG,FILENAME,VARCHAR2(255 CHAR),*File chứa changeset*,,
DATABASECHANGELOG,DATEEXECUTED,TIMESTAMP(6)(6),*Thời điểm changeset được chạy*,,
DATABASECHANGELOG,ORDEREXECUTED,NUMBER(MAX),*Thứ tự chạy*,,
DATABASECHANGELOG,EXECTYPE,VARCHAR2(10),*Kiểu thực thi*,,
DATABASECHANGELOG,MD5SUM,VARCHAR2(35),*Hash của nội dung changeset*,,
DATABASECHANGELOG,DESCRIPTION,VARCHAR2(255 CHAR),*Mô tả ngắn về changeset*,,
DATABASECHANGELOG,COMMENTS,VARCHAR2(255 ),*Ghi chú*,,
DATABASECHANGELOG,TAG,VARCHAR2(255 ),*Tag*,,
DATABASECHANGELOG,LIQUIBASE,VARCHAR2(20 ),*Version Liquibase dùng để chạy*,,
DATABASECHANGELOG,CONTEXTS,VARCHAR2(255 ),*Context*,,
DATABASECHANGELOG,DEPLOYMENT_ID,VARCHAR2(10),*Id của lần deploy*,,
DATABASECHANGELOGLOCK,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
DATABASECHANGELOGLOCK,LOCKED,NUMBER(1),"*Trạng thái lock** * *(1: khóa, 0: Không khóa)*",,
DATABASECHANGELOGLOCK,LOCKEDBY,VARCHAR2(255 CHAR),*Thông tin** người log*,,
ENTERPRISE_POSITION_TYPE,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
ENTERPRISE_POSITION_TYPE,CODE,VARCHAR2(50 CHAR),*Mã loại chức vụ*,,
