Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
BRANCHES,Id,RAW(16),Mã ID CN/VPĐD công ty QLQ trong nước (PK),PK,
BRANCHES,SecId,RAW(16),Mã ID công ty QLQ. FK → SECURITIES.Id,FK,FK → SECURITIES.Id
BRANCHES,Name,NVARCHAR2(3000),Tên chi nhánh/VPĐD,,
BRANCHES,Address,NVARCHAR2(3000),Địa chỉ,,
BRANCHES,Telephone,NVARCHAR2(300),Điện thoại,,
BRANCHES,Fax,NVARCHAR2(300),Số Fax,,
BRANCHES,BrType,NUMBER(22),1 = CN công ty QLQ trong nước; 4 = VPĐD QLQ trong nước,,
BRANCHES,BrIdowner,NVARCHAR2(30),Chi nhánh/VPĐD cha/con,,
BRANCHES,Decision,NVARCHAR2(300),Giấy phép thành lập,,
BRANCHES,DecisionDate,DATE,Ngày cấp giấy phép,,
BRANCHES,Status,NUMBER(22),Mã ID trạng thái. FK → STATUS.Id,FK,FK → STATUS.Id
BRANCHES,StopDate,DATE,Ngày đóng cửa,,
BRANCHES,TLId,RAW(16),Mã ID người đại diện. FK → TLProfiles.Id,FK,FK → TLProfiles.Id
BRANCHES,TLName,NVARCHAR2(300),Tên người đại diện,,
BRANCHES,VoucherNo,NVARCHAR2(600),Số GP/QĐ/CV sửa đổi,,
BRANCHES,VoucherDate,DATE,Ngày chấp thuận,,
BRANCHES,Deleted,NUMBER(22),Trạng thái bản ghi,,
BRANCHES,IsDataMigration,NUMBER(22),1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu mới,,
BRANCHES,FileData,NCLOB,File đính kèm,,
BRANCHES,FileName,NVARCHAR2(4000),Tên file đính kèm,,
BRANCHES,Content,NVARCHAR2(4000),Nghiệp vụ kinh doanh,,
BRANCHES,DesChange,NVARCHAR2(3000),Lý do sửa đổi,,
BRANCHES,Description,NVARCHAR2(3000),Ghi chú,,
BRANCHES,CreatedBy,NVARCHAR2(300),Người tạo,,
BRANCHES,DateCreated,DATE,Ngày tạo,,
