"datamart_entity","datamart_table","datamart_attribute","datamart_column","nullable","data_domain","data_type","key","description","etl_logic","etl_logic_type","source_entity","atomic_table","source_attribute","atomic_column"
"CW Outstanding Report (TTLK10)","ttlk10_cw_outstanding_rpt","Report Code","report_code","false","Text","string","BK","BK — mã báo cáo, hằng số cố định cho mọi dòng bảng này","'TTLK10'","computed","ETL Report Config","","",""
"CW Outstanding Report (TTLK10)","ttlk10_cw_outstanding_rpt","Report Period Date","report_period_dt","false","Date","date","BK","BK — kỳ báo cáo","sc_disclosure_securities_offering.disclosure_dt","direct","Securities Company Disclosure Securities Offering","sc_disclosure_securities_offering","Disclosure Date","disclosure_dt"
"CW Outstanding Report (TTLK10)","ttlk10_cw_outstanding_rpt","Listed CW Code","listed_cw_code","false","Text","string","PK","PK — mã chứng quyền niêm yết, khóa nghiệp vụ danh sách (không dùng item_code vì đây là bảng danh sách, không phải EAV)","sc_disclosure_securities_offering.listed_cw_code WHERE sc_disclosure_securities_offering.securities_tp_code = 'CW'","direct","Securities Company Disclosure Securities Offering","sc_disclosure_securities_offering","Listed CW Code","listed_cw_code"
"CW Outstanding Report (TTLK10)","ttlk10_cw_outstanding_rpt","Covered Warrant Name","covered_warrant_nm","false","Text","string","","Tên chứng quyền","sc_disclosure_securities_offering.covered_warrant_nm","direct","Securities Company Disclosure Securities Offering","sc_disclosure_securities_offering","Covered Warrant Name","covered_warrant_nm"
"CW Outstanding Report (TTLK10)","ttlk10_cw_outstanding_rpt","Outstanding Quantity","outstanding_quantity","true","Small Counter","int","","Khối lượng chứng quyền đang lưu hành (KL cho phép phát hành trừ KL đã phân phối)","sc_disclosure_securities_offering.cw_permitted_quantity - sc_disclosure_securities_offering.cw_distributed_quantity WHERE sc_disclosure_securities_offering.securities_tp_code = 'CW'","computed","Securities Company Disclosure Securities Offering","sc_disclosure_securities_offering","Cw Permitted Quantity / Cw Distributed Quantity","cw_permitted_quantity / cw_distributed_quantity"
"CW Outstanding Report (TTLK10)","ttlk10_cw_outstanding_rpt","Source System Code","src_stm_code","false","Classification Value","string","","Mã hệ thống nguồn dữ liệu của báo cáo","sc_disclosure_securities_offering.src_stm_code WHERE sc_disclosure_securities_offering.src_stm_code = 'SCMS_DISCLOSURE_SECURITIES_OFFERING'","direct","Securities Company Disclosure Securities Offering","sc_disclosure_securities_offering","Source System Code","src_stm_code"
