source_system,table_name,source_system.table_name,technical_table_type,filter,description
FIMS,RPTPERIOD,FIMS.RPTPERIOD,,,lưu danh sách kỳ của báo cáo đầu vào.
FIMS,RPTPDSHT,FIMS.RPTPDSHT,,,bảng trung gian giữa bảng SHEET và bảng RPTPERIOD
FIMS,RPTHTORY,FIMS.RPTHTORY,,,lưu lịch sử thay đổi biểu mẫu báo cáo đầu vào.
FIMS,RPTTPOUT,FIMS.RPTTPOUT,,,lưu danh sách biểu mẫu báo cáo đầu ra
FIMS,SHEETOUT,FIMS.SHEETOUT,,,lưu danh sách sheet của báo cáo đầu ra.
FIMS,TPOUTHTORY,FIMS.TPOUTHTORY,,,lưu danh sách lịch sử thay đổi biểu mẫu báo cáo đầu
FIMS,RPTOUTMANAGEMENT,FIMS.RPTOUTMANAGEMENT,,,Lưu danh sách cấu hình gen file thống kê tự
FIMS,RPTOUTFILESAVE,FIMS.RPTOUTFILESAVE,,,Lưu danh sách file thống kê đã được gen tự động
FIMS,LOCATION,FIMS.LOCATION,,,lưu danh sách tỉnh/ thành phố
FIMS,NATIONAL,FIMS.NATIONAL,,,lưu danh sách quốc tịch/ quốc gia
FIMS,STATUS,FIMS.STATUS,,,lưu danh sách danh mục tình trạng hoạt động
FIMS,JOBTYPE,FIMS.JOBTYPE,,,Lưu danh sách chức vụ của người dùng trên hệ thống
FIMS,SECURITIESTYPE,FIMS.SECURITIESTYPE,,,Lưu danh sách loại chứng khoán
FIMS,SECURITIES,FIMS.SECURITIES,,,Lưu danh sách danh mục chứng khoán.
FIMS,STOCKHOLDERTYPE,FIMS.STOCKHOLDERTYPE,,,Lưu danh sách danh mục loại cổ đông.
FIMS,COMPANYTYPE,FIMS.COMPANYTYPE,,,Lưu danh sách danh mục loại hình doanh nghiệp
FIMS,BUSINESS,FIMS.BUSINESS,,,lưu danh sách danh mục nghiệp vụ kinh doanh.
FIMS,CURRENCY,FIMS.CURRENCY,,,lưu danh sách danh mục tiền tệ.
FIMS,DEGREE,FIMS.DEGREE,,,lưu danh sách danh mục trình độ
FIMS,UNIT,FIMS.UNIT,,,lưu danh sách danh mục đơn vị
FIMS,DEPARTMENT,FIMS.DEPARTMENT,,,lưu danh sách danh mục phòng ban
FIMS,VIOLATIONTYPE,FIMS.VIOLATIONTYPE,,,lưu danh sách danh mục loại vi phạm
FIMS,REPORTTYPE,FIMS.REPORTTYPE,,,Lưu danh sách danh mục loại báo cáo.
FIMS,INVESTORTYPE,FIMS.INVESTORTYPE,,,lưu danh sách danh mục loại nhà đầu tư
FIMS,INVESTOR,FIMS.INVESTOR,,,lưu danh sách danh mục nhà đầu tư
FIMS,INVESTORHIS,FIMS.INVESTORHIS,,,Lưu danh sách lịch sử của nhà đầu tư
FIMS,SECURITIESACCOUNT,FIMS.SECURITIESACCOUNT,,,Lưu danh sách tài khoản giao dịch chứng
FIMS,SECURITIESACCOUNTHIS,FIMS.SECURITIESACCOUNTHIS,,,Lưu danh sách lịch sử tài khoản khoản
FIMS,CATEGORIESSTOCK,FIMS.CATEGORIESSTOCK,,,Lưu danh sách danh mục chứng khoán của NĐT NN.
FIMS,CATEGORIESSTOCKHIS,FIMS.CATEGORIESSTOCKHIS,,,Lưu danh sách danh mục lịch sử sở hữu chứng
FIMS,RELATEDPROPERTIES,FIMS.RELATEDPROPERTIES,,,Lưu danh sách các danh muc hình thức liên
FIMS,RELATIONSHIP,FIMS.RELATIONSHIP,,,
FIMS,ANNOUNCETYPE,FIMS.ANNOUNCETYPE,,,Lưu danh sách loại CBTT
FIMS,CALENDAR,FIMS.CALENDAR,,,Lưu danh sách lịch hệ thống
FIMS,CALENDARMANAGERMENT,FIMS.CALENDARMANAGERMENT,,,Lưu các thay đổi lịch hệ thống để phục vụ
FIMS,SYSVAR,FIMS.SYSVAR,,,Bảng lưu danh sách các tham số hệ thống
FIMS,SELFSETPD,FIMS.SELFSETPD,,,Lưu danh sách cấu hình kỳ báo cáo do cán bộ UB tự
FIMS,TLPROFILES,FIMS.TLPROFILES,,,lưu danh sách nhân sự của người đại diện CBTT.
FIMS,TLPROJOB,FIMS.TLPROJOB,,,Lưu danh sách chức vụ của nhân sự
FIMS,TLPROSTOCKH,FIMS.TLPROSTOCKH,,,lưu danh sách loại cổ đông của nhân sự
FIMS,NOTIFICATION,FIMS.NOTIFICATION,,,lưu danh sách thông báo
FIMS,RPTMEMBER,FIMS.RPTMEMBER,,,lưu danh sách báo cáo của các thành viên thị trường
FIMS,RPTVALUESMANAGERMENT,FIMS.RPTVALUESMANAGERMENT,,,Lưu quản lý các bảng lưu giá trị của báo
