source_system,staging_table,ods_table,column_name,data_type,description,pk/fk
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,noi_dung,,Nội dung XML gửi/ nhận,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,mo_ta,,Mô tả,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,ngay_gui,,Ngày gửi,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,ngay_tiep_nhan,,Ngày tiếp nhận,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,version,,Phiên bản,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,sender_code,,Mã hệ thống gửi,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,sender_name,,Tên hệ thống gửi,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,receiver_code,,Mã hệ thống nhận,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,receiver_name,,Tên hệ thống nhận,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,tran_code,,Mã TRAN_CODE,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,msg_id,,Message ID,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,msg_refid,,,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,id_link,,,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,original_code,,,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,original_name,,,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,original_date,,,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,error_code,,,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,error_desc,,,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,spare1,,,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,spare2,,,
DCST,stg_dcst_goi_tin,ods_dcst_goi_tin,spare3,,,
DCST,stg_dcst_kiem_toan_vien,ods_dcst_kiem_toan_vien,id,,,PK
DCST,stg_dcst_kiem_toan_vien,ods_dcst_kiem_toan_vien,cong_ty_kiem_toan_id,,ID Công ty kiểm toán,FK
DCST,stg_dcst_kiem_toan_vien,ods_dcst_kiem_toan_vien,ten_ktv,,Tên kiểm toán viên,
DCST,stg_dcst_kiem_toan_vien,ods_dcst_kiem_toan_vien,so_gcn,,Số giấy chứng nhận đăng ký hành nghề,
DCST,stg_dcst_kiem_toan_vien,ods_dcst_kiem_toan_vien,ngay_ct,,Ngày chấp thuận,
DCST,stg_dcst_kiem_toan_vien,ods_dcst_kiem_toan_vien,ngay_huy_ct,,Ngày hủy chấp thuận,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,id,,,PK
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,ten,,Tên công ty,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,loai_cty,,1. Công ty chứng khoán; 2. Công ty đại chúng; 3. Công ty quản lý quỹ,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,ngay_thaydoi,,Ngày thay đổi thông tin,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,mst,,Mã số thuế,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,dia_chi,,Địa chỉ,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,sdt,,Số điện thoại,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,fax,,Fax,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,web,,Địa chỉ website công ty,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,kinhdoanh,,Ngành nghề kinh doanh,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,ten_ndd,,Tên người đại diện pháp luật,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,von,,Vốn đầu tư chủ sở hữu,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,ngay_dk,,Ngày đăng ký công ty đại chúng,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,so_qd_gd,,Số quyết định niêm yết/ giao dịch cổ phiếu,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,ky_hieu,,Ký hiệu,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,ngay_gd,,Ngày niêm yết/ giao dịch,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,noi_gd,,Nơi niêm yết/ giao dịch cổ phiếu,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,ngay_dau_gd,,Ngày niêm yết/ giao dịch cổ phiếu lần đầu tiên trên sàn giao dịch chứng khoán,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,so_cd,,Số lượng cổ đông,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,ngay_huy_cp,,Ngày hủy niêm yết,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,ngay_huy_dc,,Ngày hủy đại chúng,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,goi_tin_id,,Mã gói tin,FK
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,dkkd,,Đăng ký kinh doanh,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,guid,,,
DCST,stg_dcst_thong_tin_cong_ty,ods_dcst_thong_tin_cong_ty,so_ban_ghi,,Lưu số bản ghi công ty có cùng gói tin ID và loại công ty,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,id,,,PK
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,goi_tin_id,,ID gói tin,FK
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ten_nguoi_nop,,Tên người nộp thuế,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ma_so_thue,,Mã số thuế,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,dia_chi_tsc,,Địa chỉ trụ sở chính,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,dien_thoai,,Điện thoại,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,fax,,Fax,
