STT;Dashboard/báo cáo;Thông tin;Mô tả;Nhóm yêu cầu;Phân loại;Đánh giá;Độ chi tiết;Nguồn;Thông tin cần phân tích;Thông tin cần Test;Cần dữ liệu lịch sử;Trạng thái phân tích;Test script verify mapping;Mapping;Note;Test script tại nguồn;Test script tại đích;Kết quả Test;Model;DMT
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;Số lượng CTCK đình chỉ hoạt động;Số lượng CTCK đình chỉ hoạt động;Dashboard;Chỉ tiêu cơ sở;TB;ngày, trạng thái CTCK;SCMS;X;X;;;;"-- Số lượng CTCK đình chỉ hoạt động
SELECT
    nd.ngay,
    COUNT(c.ID) AS so_ctck_dinh_chi_hoat_dong
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(NGAY_CAP_GPKD) AS min_ngay
        FROM SCMS.CTCK_THONG_TIN
        WHERE IS_BANG_TAM    = 1
          AND NGAY_CAP_GPKD IS NOT NULL
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.CTCK_THONG_TIN c
    JOIN SCMS.DM_TRANG_THAI_CTCK d
        ON d.ID = c.TRANG_THAI              -- Check lại có phải join qua ID?
    ON  c.IS_BANG_TAM    = 1
    AND c.NGAY_CAP_GPKD IS NOT NULL
    AND LOWER(d.TEN_TRANG_THAI_CTCK) LIKE '%đình chỉ%'
    AND TRUNC(c.NGAY_CAP_GPKD) <= nd.ngay
GROUP BY nd.ngay
ORDER BY nd.ngay;";;;;;;
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;Số lượng CTCK trạng thái khác;Số lượng CTCK trạng thái khác;Dashboard;Chỉ tiêu cơ sở;TB;ngày, trạng thái CTCK;SCMS;X;X;;;;"-- Số lượng CTCK trạng thái khác
SELECT
    nd.ngay,
    COUNT(c.ID) AS so_ctck_trang_thai_khac
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(NGAY_CAP_GPKD) AS min_ngay
        FROM SCMS.CTCK_THONG_TIN
        WHERE IS_BANG_TAM    = 1
          AND NGAY_CAP_GPKD IS NOT NULL
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.CTCK_THONG_TIN c
    JOIN SCMS.DM_TRANG_THAI_CTCK d
        ON d.ID = c.TRANG_THAI              -- Check lại có phải join qua ID?
    ON  c.IS_BANG_TAM    = 1
    AND c.NGAY_CAP_GPKD IS NOT NULL
    AND LOWER(d.TEN_TRANG_THAI_CTCK) NOT LIKE '%thu hồi%'
    AND LOWER(d.TEN_TRANG_THAI_CTCK) NOT LIKE '%hoạt động%'
    AND LOWER(d.TEN_TRANG_THAI_CTCK) NOT LIKE '%cảnh báo%'
    AND LOWER(d.TEN_TRANG_THAI_CTCK) NOT LIKE '%kiểm soát%'
    AND LOWER(d.TEN_TRANG_THAI_CTCK) NOT LIKE '%kiểm soát đặc biệt%'
    AND LOWER(d.TEN_TRANG_THAI_CTCK) NOT LIKE '%đình chỉ%'
    AND TRUNC(c.NGAY_CAP_GPKD) <= nd.ngay
GROUP BY nd.ngay
ORDER BY nd.ngay;";;;;;;
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;Số tài khoản có phát sinh giao dịch.;Số tài khoản có phát sinh giao dịch;Dashboard;Chỉ tiêu cơ sở;TB;Ngày;SCMS;X;X;;;;"-- Số tài khoản có phát sinh giao dịch
SELECT
    nd.ngay,
    SUM(TO_NUMBER(gt.GIA_TRI)) AS so_tk_phat_sinh_gd
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(gt.NGAY_SO_LIEU) AS min_ngay
        FROM SCMS.BC_BAO_CAO_GT gt
        JOIN SCMS.DM_CHI_TIEU dct ON dct.ID = gt.DM_CHI_TIEU_ID
        WHERE dct.MA_CHI_TIEU = 'SO_TAI_KHOAN_PHAT_SINH_GIAO_DICH'  -- xác nhận lại có tồn tại chỉ tiêu này ko, sửa đúng tên MA_CHI_TIEU
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.BC_BAO_CAO_GT gt
    JOIN SCMS.DM_CHI_TIEU dct ON dct.ID = gt.DM_CHI_TIEU_ID
    ON  dct.MA_CHI_TIEU        = 'SO_TAI_KHOAN_PHAT_SINH_GIAO_DICH'  -- xác nhận lại có tồn tại chỉ tiêu này ko, sửa đúng tên MA_CHI_TIEU
    AND TRUNC(gt.NGAY_SO_LIEU) = nd.ngay
GROUP BY nd.ngay
ORDER BY nd.ngay;";Hỏi bên phân hệ xem lưu ở bảng nào, cột nào, dòng nào?;;;;;
1;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Các chỉ tiêu thống kê chung;Số dư tiền gửi giao dịch;Số dư tiền gửi giao dịch;Dashboard;Chỉ tiêu cơ sở;TB;Ngày;SCMS;X;X;;;;"-- Số dư tiền gửi giao dịch
SELECT
    nd.ngay,
    SUM(TO_NUMBER(DBMS_LOB.SUBSTR(gt.GIA_TRI, 4000, 1))) AS so_du_tien_gui_giao_dich
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(gt.NGAY_SO_LIEU) AS min_ngay
        FROM SCMS.BC_BAO_CAO_GT gt
        JOIN SCMS.DM_CHI_TIEU dct ON dct.ID = gt.DM_CHI_TIEU_ID
        WHERE dct.MA_CHI_TIEU = 'SO_DU_TIEN_GUI_GIAO_DICH'  -- xác nhận lại có tồn tại chỉ tiêu này ko, sửa đúng tên MA_CHI_TIEU
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.BC_BAO_CAO_GT gt
    JOIN SCMS.DM_CHI_TIEU dct ON dct.ID = gt.DM_CHI_TIEU_ID
    ON  dct.MA_CHI_TIEU        = 'SO_DU_TIEN_GUI_GIAO_DICH'  -- xác nhận lại có tồn tại chỉ tiêu này ko, sửa đúng tên MA_CHI_TIEU
    AND TRUNC(gt.NGAY_SO_LIEU) = nd.ngay
GROUP BY nd.ngay
ORDER BY nd.ngay;";Hỏi bên phân hệ xem lưu ở bảng nào, cột nào, dòng nào?;;;;;
2;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Biểu đồ Nghiệp vụ;Chiều thời gian theo ngày;Chiều thời gian theo ngày;Dashboard;Chiều;Trùng;;SCMS;;X;;;;;;;;;;
2;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Biểu đồ nghiệp vụ;Chiều nghiệp vụ kinh doanh chứng khoán;Nghiệp vụ Môi giới chứng khoán, Bảo lãnh phát hành, Tư vấn đầu tư chứng khoán, Tự doanh chứng khoán;Dashboard;Chiều;Dễ;;SCMS;;X;;;;;;;;;;
2;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Biểu đồ nghiệp vụ;Số lượng CTCK theo nghiệp vụ môi giới;Số lượng CTCK theo nghiệp vụ môi giới;Dashboard;Chỉ tiêu cơ sở;TB;Ngày, Danh mục nghiệp vụ;SCMS;X;X;;;;"-- Số lượng CTCK theo nghiệp vụ môi giới
SELECT
    nd.ngay,
    COUNT(dv.ID) AS so_ctck_nv_moi_gioi
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(dv.NGAY_DANG_KY) AS min_ngay
        FROM SCMS.CTCK_DICH_VU dv
        JOIN SCMS.DM_DICH_VU dd ON dd.ID = dv.DM_DICH_VU_ID
        WHERE dv.IS_BANG_TAM = 1
          AND LOWER(dd.TEN_DICH_VU) LIKE '%môi giới%'
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.CTCK_DICH_VU dv
    JOIN SCMS.DM_DICH_VU dd ON dd.ID = dv.DM_DICH_VU_ID
    ON  dv.IS_BANG_TAM = 1
    AND dv.TRANG_THAI = 1
    AND LOWER(dd.TEN_DICH_VU) LIKE '%môi giới%'
    AND TRUNC(dv.NGAY_DANG_KY) <= nd.ngay        -- đã đăng ký tính đến ngày đó
    AND (
        dv.NGAY_KET_THUC IS NULL
        OR dv.NGAY_KET_THUC > nd.ngay        -- còn hiệu lực tại ngày đó
    )
GROUP BY nd.ngay
ORDER BY nd.ngay;";Không thấy bảng DM nghiệp vụ;;;;;
2;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Biểu đồ nghiệp vụ;Số lượng CTCK theo nghiệp vụ bảo lãnh;Số lượng CTCK theo nghiệp vụ bảo lãnh;Dashboard;Chỉ tiêu cơ sở;TB;Ngày, Danh mục nghiệp vụ;SCMS;X;X;;;;"-- Số lượng CTCK theo nghiệp vụ bảo lãnh
SELECT
    nd.ngay,
    COUNT(dv.ID) AS so_ctck_nv_bao_lanh
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(dv.NGAY_DANG_KY) AS min_ngay
        FROM SCMS.CTCK_DICH_VU dv
        JOIN SCMS.DM_DICH_VU dd ON dd.ID = dv.DM_DICH_VU_ID
        WHERE dv.IS_BANG_TAM = 1
          AND LOWER(dd.TEN_DICH_VU) LIKE '%bảo lãnh%'
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.CTCK_DICH_VU dv
    JOIN SCMS.DM_DICH_VU dd ON dd.ID = dv.DM_DICH_VU_ID
    ON  dv.IS_BANG_TAM = 1
    AND dv.TRANG_THAI = 1
    AND LOWER(dd.TEN_DICH_VU) LIKE '%bảo lãnh%'
    AND TRUNC(dv.NGAY_DANG_KY) <= nd.ngay        -- đã đăng ký tính đến ngày đó
    AND (
        dv.NGAY_KET_THUC IS NULL
        OR dv.NGAY_KET_THUC > nd.ngay        -- còn hiệu lực tại ngày đó
    )
GROUP BY nd.ngay
ORDER BY nd.ngay;";Không thấy bảng DM nghiệp vụ;;;;;
2;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Biểu đồ nghiệp vụ;Số lượng CTCK theo nghiệp vụ tư vấn;Số lượng CTCK theo nghiệp vụ tư vấn;Dashboard;Chỉ tiêu cơ sở;TB;Ngày, Danh mục nghiệp vụ;SCMS;X;X;;;;"-- Số lượng CTCK theo nghiệp vụ tư vấn
SELECT
    nd.ngay,
    COUNT(dv.ID) AS so_ctck_nv_tu_van
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(dv.NGAY_DANG_KY) AS min_ngay
        FROM SCMS.CTCK_DICH_VU dv
        JOIN SCMS.DM_DICH_VU dd ON dd.ID = dv.DM_DICH_VU_ID
        WHERE dv.IS_BANG_TAM = 1
          AND LOWER(dd.TEN_DICH_VU) LIKE '%tư vấn%'
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.CTCK_DICH_VU dv
    JOIN SCMS.DM_DICH_VU dd ON dd.ID = dv.DM_DICH_VU_ID
    ON  dv.IS_BANG_TAM = 1
    AND dv.TRANG_THAI = 1
    AND LOWER(dd.TEN_DICH_VU) LIKE '%tư vấn%'
    AND TRUNC(dv.NGAY_DANG_KY) <= nd.ngay        -- đã đăng ký tính đến ngày đó
    AND (
        dv.NGAY_KET_THUC IS NULL
        OR dv.NGAY_KET_THUC > nd.ngay        -- còn hiệu lực tại ngày đó
    )
GROUP BY nd.ngay
ORDER BY nd.ngay;";Không thấy bảng DM nghiệp vụ;;;;;
2;Dashboard Tổng quan công ty chứng khoán toàn thị trường >> Biểu đồ nghiệp vụ;Số lượng CTCK theo nghiệp vụ tự doanh;Số lượng CTCK theo nghiệp vụ tự doanh;Dashboard;Chỉ tiêu cơ sở;TB;Ngày, Danh mục nghiệp vụ;SCMS;X;X;;;;"-- Số lượng CTCK theo nghiệp vụ tự doanh
SELECT
    nd.ngay,
    COUNT(dv.ID) AS so_ctck_nv_tu_doanh
FROM (
    SELECT TRUNC(min_ngay) + LEVEL - 1 AS ngay
    FROM (
        SELECT MIN(dv.NGAY_DANG_KY) AS min_ngay
        FROM SCMS.CTCK_DICH_VU dv
        JOIN SCMS.DM_DICH_VU dd ON dd.ID = dv.DM_DICH_VU_ID
        WHERE dv.IS_BANG_TAM = 1
          AND LOWER(dd.TEN_DICH_VU) LIKE '%tự doanh%'
    )
    CONNECT BY TRUNC(min_ngay) + LEVEL - 1 <= TRUNC(SYSDATE)
) nd
LEFT JOIN SCMS.CTCK_DICH_VU dv
    JOIN SCMS.DM_DICH_VU dd ON dd.ID = dv.DM_DICH_VU_ID
    ON  dv.IS_BANG_TAM = 1
    AND dv.TRANG_THAI = 1
    AND LOWER(dd.TEN_DICH_VU) LIKE '%tự doanh%'
    AND TRUNC(dv.NGAY_DANG_KY) <= nd.ngay        -- đã đăng ký tính đến ngày đó
    AND (
        dv.NGAY_KET_THUC IS NULL
        OR dv.NGAY_KET_THUC > nd.ngay        -- còn hiệu lực tại ngày đó
    )
GROUP BY nd.ngay
ORDER BY nd.ngay;";Không thấy bảng DM nghiệp vụ;;;;;
