attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Involved Party Id,FK đến Taxpayer Representative,Surrogate Key,false,false,draft,DCST.TTKDT_NGUOI_DAI_DIEN.ID,FK target: Taxpayer Representative.Taxpayer Representative Id. Shared entity — không có PK surrogate riêng.,,
Involved Party Code,Mã người đại diện,Text,false,false,draft,DCST.TTKDT_NGUOI_DAI_DIEN.ID,Lookup pair: Taxpayer Representative.Taxpayer Representative Code. Pair with Involved Party Id.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,,SOURCE_SYSTEM=DCST.TTKDT_NGUOI_DAI_DIEN,
Electronic Address Type Code,Loại kênh liên lạc — điện thoại.,Classification Value,false,false,draft,,,IP_ELEC_ADDR_TYPE=PHONE,
Electronic Address Value,Số điện thoại,Text,true,false,draft,DCST.TTKDT_NGUOI_DAI_DIEN.DIEN_THOAI,,IP_ELEC_ADDR_TYPE=PHONE,
Electronic Address Type Code,Loại kênh liên lạc — fax.,Classification Value,false,false,draft,,,IP_ELEC_ADDR_TYPE=FAX,
Electronic Address Value,Fax,Text,true,false,draft,DCST.TTKDT_NGUOI_DAI_DIEN.FAX,,IP_ELEC_ADDR_TYPE=FAX,
Electronic Address Type Code,Loại kênh liên lạc — email.,Classification Value,false,false,draft,,,IP_ELEC_ADDR_TYPE=EMAIL,
Electronic Address Value,Email,Text,true,false,draft,DCST.TTKDT_NGUOI_DAI_DIEN.EMAIL,,IP_ELEC_ADDR_TYPE=EMAIL,
