Table Desc;Table Name;Logical Field Name;Physical Field Name;Kiểu dữ liệu;Length;Is_nullable;Ý nghĩa
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Bond Period;BOND_PERIOD;character varying;255;N;Kỳ hạn trái phiếu
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Period Unit;PERIOD_UNIT;character varying;255;N;"Đơn vi kỳ hạn trái phiếu
1: Ngày
2: Tuần
3: Tháng
4: Năm"
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Period Remain;PERIOD_REMAIN;character varying;255;N;Kỳ hạn còn lại (tính bằng ngày, được tính toán lại hàng ngày)
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Interest Type;INTEREST_TYPE;character varying;255;N;"Loại hình trả lãi:
1: Coupon
2: Zero Coupon"
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Interest Period;INTEREST_PERIOD;character varying;255;N;Kỳ hạn trả lãi
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Interest Period Unit;INTEREST_PERIOD_UNIT;character varying;255;N;"Đơn vi kỳ hạn trả lãi
1: Ngày
2: Tuần
3: Tháng
4: Năm"
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Interest Coupon Type;INTEREST_COUPON_TYPE;character varying;255;N;"Kiểu trả lãi:
1: Standard Coupon
2: Long Coupon
3: Short Coupon
4: Khác"
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Interest Rate Type;INTERESTRATE_TYPE;character varying;255;N;"Loại lãi suất:
1: Cố định
2: Thả nổi"
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Interest Payment Type;INTEREST_PAYMENT_TYPE;character varying;255;N;"Phương thức trả lãi:
1: Định kỳ - Cuối kỳ
2: Định kỳ - Đầu kỳ"
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Interest Rate;INTEREST_RATE;character varying;255;N;Lãi suất danh nghĩa
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Best Bid Quantity;PT_BESTBIDQTTY;double precision;;Y;Tổng khối lượng chào mua cao nhất của giao dịch thỏa thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Best Bid Price;PT_BESTBIDPRICE;double precision;;Y;Giá chào mua cao nhất của giao dịch thỏa thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Best Offer Quantity;PT_BESTOFFERQTTY;double precision;;Y;Tổng khối lượng chào bán thấp nhất của giao dịch thỏa thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Best Offer Price;PT_BESTOFFERPRICE;double precision;;Y;Giá chào bán thấp nhất của giao dịch thỏa thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Total Bid Quantity;PT_TOTALBIDQTTY;double precision;;Y;Tổng khối lượng chào mua của giao dịch thỏa thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Total Offer Quantity;PT_TOTALOFFERQTTY;double precision;;Y;Tổng khối lượng chào bán của giao dịch thỏa thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Max Quantity;PT_MAXQTTY;double precision;;Y;Tổng khối lượng thực hiện tương ứng với giá cao nhất của giao dịch thỏa thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Max Price;PT_MAXPRICE;double precision;;Y;Giá thực hiện cao nhất của giao dịch thỏa thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Min Quantity;PT_MINQTTY;double precision;;Y;Tổng khối lượng thực hiện tương ứng với giá thấp nhất của giao dịch thỏa thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Put-through Min Price;PT_MINPRICE;double precision;;Y;Giá thực hiện thấp nhất của giao dịch thỏa thuận Outright
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Issue Date;ISSUEDATE;character varying;255;N;Ngày phát hành
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Characteristics;CHARACTERISTICS;character varying;255;N;Đặc điểm của trái phiếu
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Security Trading Status;SECURITYTRADINGSTATUS;character varying;255;N;"Trạng thái trái phiếu:
0: Bình thường
1: Tạm ngừng giao dịch do ngày nghỉ
10: Tạm ngừng giao dịch
2: Ngừng giao dịch
11: Hạn chế giao dịch
25: Giao dịch đặc biệt"
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Trading Session Status;TRADSESSTATUS;character varying;255;N;"Trạng thái giao dịch:
= 1 Đang nhận lệnh
= 2 Tạm dừng giao dịch
= 13 Kết thúc nhận lệnh của ngày giao dịch hiện tại
= 90 Thị trường đang ở trạng thái chờ nhận lệnh.
= 97 Đóng cửa thị trường."
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Par Value;PARVALUE;character varying;255;N;Mệnh giá trái phiếu
JAD_CORPBONDINFOR: Thông tin trái phiếu doanh nghiệp riêng lẻ;JAD_CORPBONDINFOR;Trading Time;TRADINGTIME;character varying;255;N;
