Table Desc;Table Name;Logical Field Name;Physical Field Name;Kiểu dữ liệu;Length;Is_nullable;Ý nghĩa
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Floor Code;FLOORCODE;character varying;255;YES;"Mã sàn:
02-hnx,04-upcom,10-hose, 03 FDS (phái sinh), 06 corp-bond"
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Stock Type;STOCKTYPE;character varying;255;YES;"Loại chứng khoán
Đối với HNX:
{""BO"", ""1""}, {""ST"", ""2""}, {""MF"", ""3""}, {""FU"", ""4""}, {""OP"", ""5""}, {""EF"", ""6""}
--> 1 = Trái phiếu; 2 = Cổ phiếu; 3 = Chứng chỉ quỹ; 4 = Futures (Phái sinh - Hợp đồng tương lai); 5 = Options (Phái sinh - Hợp đồng quyền chọn); 6 = ETF
BO, ST… đối chiếu với trường  SECURITYTYPE msg SI, DI
Đối với HOSE:
  B- 1: Trái phiếu
  S- 2: Cổ phiếu
  U- 3: Chứng chỉ quỹ""
  D- 1: Trái phiếu chuyển đổi
  E- 3: Chứng chỉ quỹ
  W- 4: Chứng quyền
Trường này dùng để phân biết mã chứng khoán thuộc tab nào trên bảng giá."
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Ceiling;CEILING;double precision;;NO;Giá trần
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Floor;FLOOR;double precision;;NO;Giá sàn
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Reference;REFERENCE;double precision;;NO;Giá tham chiếu
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Bid Price 3;BIDPRICE3;double precision;;NO;Giá mua top 3
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Bid Volume 3;BIDVOL3;bigint;;NO;Khối lượng mua top 3
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Bid Price 2;BIDPRICE2;double precision;;NO;Giá mua top 2
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Bid Volume 2;BIDVOL2;bigint;;NO;Khối lượng mua top 2
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Bid Price 1;BIDPRICE1;double precision;;NO;Giá mua top 1
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Bid Volume 1;BIDVOL1;bigint;;NO;Khối lượng mua top 1
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Close Price;CLOSEPRICE;double precision;;NO;Giá khớp gần nhất
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Close Vol;CLOSEVOL;bigint;;NO;KL khớp gần nhất
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Change;CHANGE;double precision;;NO;Thay đổi giữa giá khớp gần nhất và giá tham chiếu (+/-)
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Offer Price 1;OFFERPRICE1;double precision;;NO;Giá bán top 1
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Offer Volume 1;OFFERVOL1;bigint;;NO;Khối lượng bán top 1
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Offer Price 2;OFFERPRICE2;double precision;;NO;Giá bán top 2
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Offer Volume 2;OFFERVOL2;bigint;;NO;Khối lượng bán top 2
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Offer Price 3;OFFERPRICE3;double precision;;NO;Giá bán top 3
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Offer Volume 3;OFFERVOL3;bigint;;NO;Khối lượng bán top 3
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Total Trading;TOTALTRADING;bigint;;NO;Tổng khối lượng khớp từ đầu ngày
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Total Trading Value;TOTALTRADINGVALUE;double precision;;NO;Tổng giá trị khớp từ đầu ngày
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Average Price;AVERAGEPRICE;double precision;;NO;Giá khớp trung bình
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Open;OPEN;double precision;;NO;Giá mở cửa
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;High;HIGH;double precision;;NO;Giá khớp cao nhất tính đến thời điểm hiện tại
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Low;LOW;double precision;;NO;Giá khớp thấp nhất tính đến thời điểm hiện tại
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Foreign Buy;FOREIGNBUY;bigint;;NO;Khối lượng NĐT NN mua
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Foreign Sell;FOREIGNSELL;bigint;;NO;Khối lượng NĐT NN bán
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Foreign Remain;FOREIGNREMAIN;bigint;;NO;Room còn lại cho NĐT NN
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Foreign Room;FOREIGNROOM;bigint;;NO;Tổng room của NĐT NN
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Total Offer Quantity;TOTAL_OFFER_QTTY;bigint;;NO;Tổng khối lượng dư bán
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Total Bid Quantity;TOTAL_BID_QTTY;bigint;;NO;Tổng khối lượng dư mua
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Put-through Match Quantity;PT_MATCH_QTTY;bigint;;NO;Khối lượng khớp thỏa thuận gần nhất
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Put-through Match Price;PT_MATCH_PRICE;bigint;;NO;Giá khớp thỏa thuận gần nhất
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Put-through Total Traded Quantity;PT_TOTAL_TRADED_QTTY;bigint;;NO;Tổng khối lượng khớp thỏa thuận từ đầu ngày
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Put-through Total Traded Value;PT_TOTAL_TRADED_VALUE;double precision;;NO;Tổng giá trị khớp thỏa thuận từ đầu ngày
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Status;STATUS;character varying;255;YES;Trạng thái sự kiện quyền của CK
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Trading Session ID;TRADINGSESSIONID;character varying;255;YES;Sessionid tại thời điểm (1 dạng trạng thái phiên mà Mã đang được áp)
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Open Interest;OPENINTEREST;character varying;255;YES;Khối lượng mở (OI) của mã PS
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;First Trading Date;FIRSTTRADINGDATE;character varying;255;YES;Ngày giao dịch đầu tiên
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Last Trading Date;LASTTRADINGDATE;character varying;255;YES;Ngày giao dịch cuối cùng
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Underlying Symbol;UNDERLYINGSYMBOL;character varying;255;YES;Chứng khoán cơ sở
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Issuer Name;ISSUERNAME;character varying;255;YES;Tổ chức phát hành
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Covered Warrant Type;COVEREDWARRANTTYPE;character varying;255;YES;Kiểu CW
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Maturity Date;MATURITYDATE;character varying;255;YES;Ngày đáo hạn
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Exercise Price;EXERCISEPRICE;character varying;255;YES;Giá thực hiện CW
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Exercise Ratio;EXERCISERATIO;character varying;255;YES;Tỉ lệ thực hiện CW
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Listed Share;LISTEDSHARE;character varying;255;YES;Khối lượng chứng khoán niêm yết
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Fund Type;FUNDTYPE;character varying;255;YES;Loại quỹ - Do FSS quy định
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Total Listing Quantity;TOTALLISTINGQTTY;character varying;255;YES;Khối lượng chứng khoán niêm yết
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Symbol Status Code;SYMBOLSTATUSCODE;character varying;255;YES;Trạng thái mã CK, ghép của 3 tag 30635|30636|30637
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Symbol ISIN;SYMBOLISIN;character varying;255;YES;Mã ISIN của CK
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Market ID;MARKETID;character varying;255;YES;Mã sàn - theo bộ thông tin của Sở
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Board ID;BOARDID;character varying;255;YES;"board của mã chứng khoán
Hiện tại ck đang chia theo nhiều board, nhưng cơ sở mặc định là board G1"
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Product GRP ID;PRODUCTGRPID;character varying;255;YES;Theo trường của Sở, mô tả mã sản phẩm của CK
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Product ID;PRODUCTID;character varying;255;YES;Theo tag 20003 của sở, chủ yếu để xác định CK thuộc bộ sp nào
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Last Color;LASTCOLOR;character varying;255;YES;Chiều mua/bán chủ động gần nhất
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Trading Time;TRADINGTIME;character varying;255;YES;Thời gian
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Coupon Rate;COUPONRATE;character varying;255;YES;Lãi suất trái phiếu
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Yield;YIELD;character varying;255;YES;YTM
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Issue Date;ISSUEDATE;character varying;255;YES;Ngày phát hành
